REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2020,0.00358644578313253
"CLEWSity","AGRPST001",2021,0.00365817469879518
"CLEWSity","AGRPST001",2022,0.00372990361445783
"CLEWSity","AGRPST001",2023,0.00380163253012048
"CLEWSity","AGRPST001",2024,0.00387336144578313
"CLEWSity","AGRPST001",2025,0.003969
"CLEWSity","AGRPST001",2026,0.00404072891566265
"CLEWSity","AGRPST001",2027,0.0041124578313253
"CLEWSity","AGRPST001",2028,0.00420809638554217
"CLEWSity","AGRPST001",2029,0.00427982530120482
"CLEWSity","AGRPST001",2030,0.00437546385542169
"CLEWSity","AGRPST001",2031,0.00447110240963855
"CLEWSity","AGRPST001",2032,0.0045428313253012
"CLEWSity","AGRPST001",2033,0.00463846987951807
"CLEWSity","AGRPST001",2034,0.00473410843373494
"CLEWSity","AGRPST001",2035,0.00482974698795181
"CLEWSity","AGRPST001",2036,0.00492538554216867
"CLEWSity","AGRPST001",2037,0.00502102409638554
"CLEWSity","AGRPST001",2038,0.00511666265060241
"CLEWSity","AGRPST001",2039,0.00523621084337349
"CLEWSity","AGRPST001",2040,0.00533184939759036
"CLEWSity","AGRPST001",2041,0.00542748795180723
"CLEWSity","AGRPST001",2042,0.00554703614457831
"CLEWSity","AGRPST001",2043,0.0056665843373494
"CLEWSity","AGRPST001",2044,0.00576222289156627
"CLEWSity","AGRPST001",2045,0.00588177108433735
"CLEWSity","AGRPST001",2046,0.00600131927710844
"CLEWSity","AGRPST001",2047,0.00612086746987952
"CLEWSity","AGRPST001",2048,0.0062404156626506
"CLEWSity","AGRPST001",2049,0.00635996385542169
"CLEWSity","AGRPST001",2050,0.00650342168674699
"CLEWSity","AGRPST001",2051,0.00662296987951807
"CLEWSity","AGRPST001",2052,0.00676642771084337
"CLEWSity","AGRPST001",2053,0.00688597590361446
"CLEWSity","AGRPST001",2054,0.00702943373493976
"CLEWSity","AGRPST001",2055,0.00717289156626506
"CLEWSity","FORWOO001",2020,9.041e-06
"CLEWSity","FORWOO001",2021,9.222e-06
"CLEWSity","FORWOO001",2022,9.407e-06
"CLEWSity","FORWOO001",2023,9.595e-06
"CLEWSity","FORWOO001",2024,9.787e-06
"CLEWSity","FORWOO001",2025,9.982e-06
"CLEWSity","FORWOO001",2026,1.0182e-05
"CLEWSity","FORWOO001",2027,1.0386e-05
"CLEWSity","FORWOO001",2028,1.0593e-05
"CLEWSity","FORWOO001",2029,1.0805e-05
"CLEWSity","FORWOO001",2030,1.1021e-05
"CLEWSity","FORWOO001",2031,1.1242e-05
"CLEWSity","FORWOO001",2032,1.1467e-05
"CLEWSity","FORWOO001",2033,1.1696e-05
"CLEWSity","FORWOO001",2034,1.193e-05
"CLEWSity","FORWOO001",2035,1.2168e-05
"CLEWSity","FORWOO001",2036,1.2412e-05
"CLEWSity","FORWOO001",2037,1.266e-05
"CLEWSity","FORWOO001",2038,1.2913e-05
"CLEWSity","FORWOO001",2039,1.3172e-05
"CLEWSity","FORWOO001",2040,1.3435e-05
"CLEWSity","FORWOO001",2041,1.3704e-05
"CLEWSity","FORWOO001",2042,1.3978e-05
"CLEWSity","FORWOO001",2043,1.4257e-05
"CLEWSity","FORWOO001",2044,1.4542e-05
"CLEWSity","FORWOO001",2045,1.4833e-05
"CLEWSity","FORWOO001",2046,1.513e-05
"CLEWSity","FORWOO001",2047,1.5433e-05
"CLEWSity","FORWOO001",2048,1.5741e-05
"CLEWSity","FORWOO001",2049,1.6056e-05
"CLEWSity","FORWOO001",2050,1.6377e-05
"CLEWSity","FORWOO001",2051,1.6705e-05
"CLEWSity","FORWOO001",2052,1.7039e-05
"CLEWSity","FORWOO001",2053,1.738e-05
"CLEWSity","FORWOO001",2054,1.7727e-05
"CLEWSity","FORWOO001",2055,1.8082e-05
"CLEWSity","IMPDSL001",2020,168.516548067959
"CLEWSity","IMPDSL001",2021,263.70917280752
"CLEWSity","IMPDSL001",2022,365.493463560133
"CLEWSity","IMPDSL001",2023,469.555387575615
"CLEWSity","IMPDSL001",2024,570.422900869604
"CLEWSity","IMPDSL001",2025,731.779201674706
"CLEWSity","IMPDSL001",2026,500.225811900608
"CLEWSity","IMPDSL001",2027,445.847048061101
"CLEWSity","IMPDSL001",2028,525.67856830586
"CLEWSity","IMPDSL001",2029,518.280773898709
"CLEWSity","IMPDSL001",2030,851.882178181958
"CLEWSity","IMPDSL001",2031,664.485047706111
"CLEWSity","IMPDSL001",2032,522.469200058084
"CLEWSity","IMPDSL001",2033,335.126868270881
"CLEWSity","IMPDSL001",2034,194.893471698228
"CLEWSity","IMPDSL001",2035,159.396613155761
"CLEWSity","IMPDSL001",2036,162.825947743996
"CLEWSity","IMPDSL001",2037,165.249240797549
"CLEWSity","IMPDSL001",2038,168.071436388092
"CLEWSity","IMPDSL001",2039,179.98508923579
"CLEWSity","IMPDSL001",2040,444.043324789127
"CLEWSity","IMPDSL001",2041,328.155387604543
"CLEWSity","IMPDSL001",2042,212.159210531137
"CLEWSity","IMPDSL001",2043,216.299924462093
"CLEWSity","IMPDSL001",2044,220.230695121064
"CLEWSity","IMPDSL001",2045,245.620363633459
"CLEWSity","IMPDSL001",2046,261.907919530882
"CLEWSity","IMPDSL001",2047,267.6513612875
"CLEWSity","IMPDSL001",2048,273.394904506618
"CLEWSity","IMPDSL001",2049,279.062894498529
"CLEWSity","IMPDSL001",2050,313.286969880662
"CLEWSity","IMPDSL001",2051,320.992719061397
"CLEWSity","IMPDSL001",2052,328.785212633382
"CLEWSity","IMPDSL001",2053,380.414169125081
"CLEWSity","IMPDSL001",2054,494.722935651583
"CLEWSity","IMPDSL001",2055,877.402917688141
"CLEWSity","IMPGSL001",2020,51.7938122171946
"CLEWSity","IMPGSL001",2021,51.7113899396591
"CLEWSity","IMPGSL001",2022,51.1027313958767
"CLEWSity","IMPGSL001",2023,52.1562397244967
"CLEWSity","IMPGSL001",2024,51.4336118758857
"CLEWSity","IMPGSL001",2025,62.1137309769118
"CLEWSity","IMPGSL001",2026,62.7945730848162
"CLEWSity","IMPGSL001",2027,63.5018233103676
"CLEWSity","IMPGSL001",2028,64.1827486976838
"CLEWSity","IMPGSL001",2029,64.9176349232353
"CLEWSity","IMPGSL001",2030,74.7084053655882
"CLEWSity","IMPGSL001",2031,75.5986869967647
"CLEWSity","IMPGSL001",2032,76.6151485339329
"CLEWSity","IMPGSL001",2033,77.5369499536388
"CLEWSity","IMPGSL001",2034,78.4272315848153
"CLEWSity","IMPGSL001",2035,89.1981768359686
"CLEWSity","IMPGSL001",2036,91.127177541851
"CLEWSity","IMPGSL001",2037,92.5642330429815
"CLEWSity","IMPGSL001",2038,94.1991969568927
"CLEWSity","IMPGSL001",2039,100.237144267353
"CLEWSity","IMPGSL001",2040,112.57720391535
"CLEWSity","IMPGSL001",2041,114.890908774909
"CLEWSity","IMPGSL001",2042,117.127407752115
"CLEWSity","IMPGSL001",2043,119.480548130423
"CLEWSity","IMPGSL001",2044,121.717047107629
"CLEWSity","IMPGSL001",2045,134.696629547332
"CLEWSity","IMPGSL001",2046,142.910456991985
