REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2021,579.096162650602
"CLEWSity","AGRPST001",2022,580.130885542169
"CLEWSity","AGRPST001",2023,581.99788554217
"CLEWSity","AGRPST001",2024,580.130885542169
"CLEWSity","AGRPST001",2025,624.770180722893
"CLEWSity","AGRPST001",2026,580.13088554217
"CLEWSity","AGRPST001",2027,580.130885542167
"CLEWSity","AGRPST001",2028,624.770180722894
"CLEWSity","AGRPST001",2029,580.130885542169
"CLEWSity","AGRPST001",2030,624.770180722893
"CLEWSity","AGRPST001",2031,626.637180722893
"CLEWSity","AGRPST001",2032,580.130885542168
"CLEWSity","AGRPST001",2033,624.770180722893
"CLEWSity","AGRPST001",2034,624.770180722891
"CLEWSity","AGRPST001",2035,624.770180722893
"CLEWSity","AGRPST001",2036,757.653343373492
"CLEWSity","AGRPST001",2037,758.688066265062
"CLEWSity","AGRPST001",2038,760.555066265063
"CLEWSity","AGRPST001",2039,803.327361445783
"CLEWSity","AGRPST001",2040,803.327361445783
"CLEWSity","AGRPST001",2041,758.688066265067
"CLEWSity","AGRPST001",2042,803.327361445782
"CLEWSity","AGRPST001",2043,847.966656626502
"CLEWSity","AGRPST001",2044,758.688066265066
"CLEWSity","AGRPST001",2045,847.966656626503
"CLEWSity","AGRPST001",2046,849.833656626513
"CLEWSity","AGRPST001",2047,803.327361445782
"CLEWSity","AGRPST001",2048,847.966656626503
"CLEWSity","AGRPST001",2049,847.966656626506
"CLEWSity","AGRPST001",2050,892.605951807231
"CLEWSity","AGRPST001",2051,980.84981927711
"CLEWSity","AGRPST001",2052,1026.5238373494
"CLEWSity","AGRPST001",2053,983.751542168677
"CLEWSity","AGRPST001",2054,1071.16313253012
"CLEWSity","AGRPST001",2055,1071.16313253012
"CLEWSity","LNDBLT001",2021,871.200000000001
"CLEWSity","LNDBLT001",2022,871.200000000001
"CLEWSity","LNDBLT001",2023,871.200000000003
"CLEWSity","LNDBLT001",2024,871.200000000001
"CLEWSity","LNDBLT001",2025,871.200000000004
"CLEWSity","LNDBLT001",2026,890.560000000001
"CLEWSity","LNDBLT001",2027,871.200000000001
"CLEWSity","LNDBLT001",2028,890.560000000003
"CLEWSity","LNDBLT001",2029,871.199999999999
"CLEWSity","LNDBLT001",2030,890.560000000003
"CLEWSity","LNDBLT001",2031,890.559999999996
"CLEWSity","LNDBLT001",2032,890.560000000003
"CLEWSity","LNDBLT001",2033,890.560000000006
"CLEWSity","LNDBLT001",2034,890.559999999996
"CLEWSity","LNDBLT001",2035,890.560000000003
"CLEWSity","LNDBLT001",2036,890.560000000006
"CLEWSity","LNDBLT001",2037,890.559999999998
"CLEWSity","LNDBLT001",2038,909.919999999994
"CLEWSity","LNDBLT001",2039,890.560000000009
"CLEWSity","LNDBLT001",2040,909.919999999997
"CLEWSity","LNDBLT001",2041,1045.44
"CLEWSity","LNDBLT001",2042,1064.8
"CLEWSity","LNDBLT001",2043,1045.44
"CLEWSity","LNDBLT001",2044,1045.43999999999
"CLEWSity","LNDBLT001",2045,1064.80000000001
"CLEWSity","LNDBLT001",2046,1064.8
"CLEWSity","LNDBLT001",2047,1064.8
"CLEWSity","LNDBLT001",2048,1084.16
"CLEWSity","LNDBLT001",2049,1064.80000000001
"CLEWSity","LNDBLT001",2050,1084.16
"CLEWSity","LNDBLT001",2051,1084.16
"CLEWSity","LNDBLT001",2052,1084.16
"CLEWSity","LNDBLT001",2053,1103.52
"CLEWSity","LNDBLT001",2054,1084.16
"CLEWSity","LNDBLT001",2055,1084.16
"CLEWSity","LNDCRP001I",2021,25.4480238970589
"CLEWSity","LNDCRP001I",2022,25.0083639705882
"CLEWSity","LNDCRP001I",2023,25.558318014706
"CLEWSity","LNDCRP001I",2024,25.0068474264707
"CLEWSity","LNDCRP001I",2025,99.5180202205882
"CLEWSity","LNDCRP001I",2026,30.1663088235294
"CLEWSity","LNDCRP001I",2027,30.9016029411765
"CLEWSity","LNDCRP001I",2028,30.1673823529412
"CLEWSity","LNDCRP001I",2029,30.9016029411766
"CLEWSity","LNDCRP001I",2030,30.1663088235295
"CLEWSity","LNDCRP001I",2031,33.1085588235295
"CLEWSity","LNDCRP001I",2032,32.3721911764706
"CLEWSity","LNDCRP001I",2033,33.1074852941177
"CLEWSity","LNDCRP001I",2034,33.1085588235295
"CLEWSity","LNDCRP001I",2038,5.07807352941174
"CLEWSity","LNDCRP001I",2039,33.8303768382354
"CLEWSity","LNDCRP001I",2040,251.356255514706
"CLEWSity","LNDCRP001I",2041,44.8721911764706
"CLEWSity","LNDCRP001I",2042,44.8721911764707
"CLEWSity","LNDCRP001I",2046,181.696794117648
"CLEWSity","LNDCRP001I",2047,47.0780735294117
