REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2020,936.207
"CLEWSity","AGRPST001",2021,954.783596385542
"CLEWSity","AGRPST001",2022,973.504843373494
"CLEWSity","AGRPST001",2023,992.226090361446
"CLEWSity","AGRPST001",2024,1010.9473373494
"CLEWSity","AGRPST001",2025,1035.909
"CLEWSity","AGRPST001",2026,1054.63024698795
"CLEWSity","AGRPST001",2027,1073.3514939759
"CLEWSity","AGRPST001",2028,1098.31315662651
"CLEWSity","AGRPST001",2029,1117.03440361446
"CLEWSity","AGRPST001",2030,1141.99606626506
"CLEWSity","AGRPST001",2031,1166.95772891566
"CLEWSity","AGRPST001",2032,1185.67897590361
"CLEWSity","AGRPST001",2033,1210.64063855422
"CLEWSity","AGRPST001",2034,1235.60230120482
"CLEWSity","AGRPST001",2035,1247.60601286928
"CLEWSity","AGRPST001",2036,1220.50923018706
"CLEWSity","AGRPST001",2037,1193.98664384573
"CLEWSity","AGRPST001",2038,1167.42093069601
"CLEWSity","AGRPST001",2039,1134.59950510864
"CLEWSity","AGRPST001",2040,1103.4046231348
"CLEWSity","AGRPST001",2041,1076.29073718655
"CLEWSity","AGRPST001",2042,1041.50079184653
"CLEWSity","AGRPST001",2043,1007.37853645063
"CLEWSity","AGRPST001",2044,979.592860683264
"CLEWSity","AGRPST001",2045,945.480336237363
"CLEWSity","AGRPST001",2046,912.219480712346
"CLEWSity","AGRPST001",2047,878.908367641447
"CLEWSity","AGRPST001",2048,845.587094058046
"CLEWSity","AGRPST001",2049,811.759014845529
"CLEWSity","AGRPST001",2050,771.642849151977
"CLEWSity","AGRPST001",2051,737.166561022547
"CLEWSity","AGRPST001",2052,694.670748502413
"CLEWSity","AGRPST001",2053,647.534732526419
"CLEWSity","AGRPST001",2054,599.255911125838
"CLEWSity","AGRPST001",2055,552.597145610745
"CLEWSity","AGRPST002",2035,17.3020916424092
"CLEWSity","AGRPST002",2036,86.813080908649
"CLEWSity","AGRPST002",2037,155.557375060722
"CLEWSity","AGRPST002",2038,224.35925424238
"CLEWSity","AGRPST002",2039,309.846576500492
"CLEWSity","AGRPST002",2040,384.829548920481
"CLEWSity","AGRPST002",2041,454.363375306305
"CLEWSity","AGRPST002",2042,542.479161678585
"CLEWSity","AGRPST002",2043,629.703415692529
"CLEWSity","AGRPST002",2044,700.134248790853
"CLEWSity","AGRPST002",2045,787.345509563134
"CLEWSity","AGRPST002",2046,873.419580224578
"CLEWSity","AGRPST002",2047,959.560757226022
"CLEWSity","AGRPST002",2048,1045.71550104205
"CLEWSity","AGRPST002",2049,1132.54695658892
"CLEWSity","AGRPST002",2050,1236.10708262265
"CLEWSity","AGRPST002",2051,1323.80405850493
"CLEWSity","AGRPST002",2052,1430.54160568451
"CLEWSity","AGRPST002",2053,1535.14247104773
"CLEWSity","AGRPST002",2054,1649.60177529565
"CLEWSity","AGRPST002",2055,1761.89790147424
"CLEWSity","LNDCRP001I",2020,15.54
