REGION,TECHNOLOGY,COMMODITY,YEAR,VALUE
CLEWSity,AGRCRP001,LNDCRP,2020,206.0611697
CLEWSity,AGRCRP001,LNDCRP,2021,182.5990073
CLEWSity,AGRCRP001,LNDCRP,2022,183.3733043
CLEWSity,AGRCRP001,LNDCRP,2023,184.2357766
CLEWSity,AGRCRP001,LNDCRP,2024,184.9929485
CLEWSity,AGRCRP001,LNDCRP,2025,185.9141843
CLEWSity,AGRCRP001,LNDCRP,2026,186.688077
CLEWSity,AGRCRP001,LNDCRP,2027,187.5531243
CLEWSity,AGRCRP001,LNDCRP,2028,188.3092651
CLEWSity,AGRCRP001,LNDCRP,2029,189.229077
CLEWSity,AGRCRP001,LNDCRP,2030,190.0028496
CLEWSity,AGRCRP001,LNDCRP,2031,191.735302
CLEWSity,AGRCRP001,LNDCRP,2032,193.3495515
CLEWSity,AGRCRP001,LNDCRP,2033,195.127539
CLEWSity,AGRCRP001,LNDCRP,2034,195.7966852
CLEWSity,AGRCRP001,LNDCRP,2035,195.0766729
CLEWSity,AGRCRP001,LNDCRP,2036,199.1669412
CLEWSity,AGRCRP001,LNDCRP,2037,202.1572165
CLEWSity,AGRCRP001,LNDCRP,2038,205.2301101
CLEWSity,AGRCRP001,LNDCRP,2039,208.332308
CLEWSity,AGRCRP001,LNDCRP,2040,220.2733412
CLEWSity,AGRCRP001,LNDCRP,2041,224.3963743
CLEWSity,AGRCRP001,LNDCRP,2042,231.2696828
CLEWSity,AGRCRP001,LNDCRP,2043,236.8638918
CLEWSity,AGRCRP001,LNDCRP,2044,242.2738786
CLEWSity,AGRCRP001,LNDCRP,2045,247.8494459
CLEWSity,AGRCRP001,LNDCRP,2046,251.7934635
CLEWSity,AGRCRP001,LNDCRP,2047,255.83376
CLEWSity,AGRCRP001,LNDCRP,2048,259.8935211
CLEWSity,AGRCRP001,LNDCRP,2049,264.9241741
CLEWSity,AGRCRP001,LNDCRP,2050,270.0461506
CLEWSity,AGRCRP001,LNDCRP,2051,276.3185832
CLEWSity,AGRCRP001,LNDCRP,2052,285.9992701
CLEWSity,AGRCRP001,LNDCRP,2053,316.5240548
CLEWSity,AGRCRP001,LNDCRP,2054,337.2833028
CLEWSity,AGRCRP001,LNDCRP,2055,354.9389954
CLEWSity,AGRPST001,CTL,2020,4762.8
CLEWSity,AGRPST001,CTL,2021,4858.056
CLEWSity,AGRPST001,CTL,2022,4953.312
CLEWSity,AGRPST001,CTL,2023,5048.568
CLEWSity,AGRPST001,CTL,2024,5143.824
CLEWSity,AGRPST001,CTL,2025,5270.832
CLEWSity,AGRPST001,CTL,2026,5366.088
CLEWSity,AGRPST001,CTL,2027,5461.344
CLEWSity,AGRPST001,CTL,2028,5588.352
CLEWSity,AGRPST001,CTL,2029,5683.608
CLEWSity,AGRPST001,CTL,2030,5810.616
CLEWSity,AGRPST001,CTL,2031,5937.624
CLEWSity,AGRPST001,CTL,2032,6032.88
CLEWSity,AGRPST001,CTL,2033,6159.888
CLEWSity,AGRPST001,CTL,2034,6286.896
CLEWSity,AGRPST001,CTL,2035,6347.972357
CLEWSity,AGRPST001,CTL,2036,6210.100604
CLEWSity,AGRPST001,CTL,2037,6075.150433
CLEWSity,AGRPST001,CTL,2038,5939.980827
CLEWSity,AGRPST001,CTL,2039,5772.98139
CLEWSity,AGRPST001,CTL,2040,5614.258006
CLEWSity,AGRPST001,CTL,2041,5476.29923
CLEWSity,AGRPST001,CTL,2042,5299.283722
CLEWSity,AGRPST001,CTL,2043,5125.665503
CLEWSity,AGRPST001,CTL,2044,4984.288578
CLEWSity,AGRPST001,CTL,2045,4810.719872
CLEWSity,AGRPST001,CTL,2046,4641.484561
CLEWSity,AGRPST001,CTL,2047,4471.993533
CLEWSity,AGRPST001,CTL,2048,4302.450808
CLEWSity,AGRPST001,CTL,2049,4130.329394
CLEWSity,AGRPST001,CTL,2050,3926.213424
CLEWSity,AGRPST001,CTL,2051,3750.793843
CLEWSity,AGRPST001,CTL,2052,3534.569939
CLEWSity,AGRPST001,CTL,2053,3294.73611
CLEWSity,AGRPST001,CTL,2054,3049.087548
CLEWSity,AGRPST001,CTL,2055,2811.682028
CLEWSity,AGRPST001,LND001,2020,3586.445783
CLEWSity,AGRPST001,LND001,2021,3658.174699
CLEWSity,AGRPST001,LND001,2022,3729.903614
CLEWSity,AGRPST001,LND001,2023,3801.63253
CLEWSity,AGRPST001,LND001,2024,3873.361446
CLEWSity,AGRPST001,LND001,2025,3969
CLEWSity,AGRPST001,LND001,2026,4040.728916
CLEWSity,AGRPST001,LND001,2027,4112.457831
CLEWSity,AGRPST001,LND001,2028,4208.096386
CLEWSity,AGRPST001,LND001,2029,4279.825301
CLEWSity,AGRPST001,LND001,2030,4375.463855
CLEWSity,AGRPST001,LND001,2031,4471.10241
CLEWSity,AGRPST001,LND001,2032,4542.831325
CLEWSity,AGRPST001,LND001,2033,4638.46988
CLEWSity,AGRPST001,LND001,2034,4734.108434
CLEWSity,AGRPST001,LND001,2035,4780.099666
CLEWSity,AGRPST001,LND001,2036,4676.280575
CLEWSity,AGRPST001,LND001,2037,4574.661471
CLEWSity,AGRPST001,LND001,2038,4472.877129
CLEWSity,AGRPST001,LND001,2039,4347.124541
CLEWSity,AGRPST001,LND001,2040,4227.60392
CLEWSity,AGRPST001,LND001,2041,4123.7193
CLEWSity,AGRPST001,LND001,2042,3990.42449
CLEWSity,AGRPST001,LND001,2043,3859.687879
CLEWSity,AGRPST001,LND001,2044,3753.229351
CLEWSity,AGRPST001,LND001,2045,3622.530024
CLEWSity,AGRPST001,LND001,2046,3495.093796
CLEWSity,AGRPST001,LND001,2047,3367.46501
CLEWSity,AGRPST001,LND001,2048,3239.797295
CLEWSity,AGRPST001,LND001,2049,3110.187796
CLEWSity,AGRPST001,LND001,2050,2956.486012
CLEWSity,AGRPST001,LND001,2051,2824.392954
CLEWSity,AGRPST001,LND001,2052,2661.573749
CLEWSity,AGRPST001,LND001,2053,2480.975987
CLEWSity,AGRPST001,LND001,2054,2295.999659
CLEWSity,AGRPST001,LND001,2055,2117.230443
CLEWSity,AGRPST001,WATEVT,2020,37.51422289
CLEWSity,AGRPST001,WATEVT,2021,38.26450735
CLEWSity,AGRPST001,WATEVT,2022,39.01479181
CLEWSity,AGRPST001,WATEVT,2023,39.76507627
CLEWSity,AGRPST001,WATEVT,2024,40.51536072
CLEWSity,AGRPST001,WATEVT,2025,37.3086
CLEWSity,AGRPST001,WATEVT,2026,37.98285181
CLEWSity,AGRPST001,WATEVT,2027,38.65710361
CLEWSity,AGRPST001,WATEVT,2028,39.55610602
CLEWSity,AGRPST001,WATEVT,2029,40.23035783
CLEWSity,AGRPST001,WATEVT,2030,41.12936024
CLEWSity,AGRPST001,WATEVT,2031,42.02836265
CLEWSity,AGRPST001,WATEVT,2032,42.70261446
CLEWSity,AGRPST001,WATEVT,2033,43.60161687
CLEWSity,AGRPST001,WATEVT,2034,44.50061928
CLEWSity,AGRPST001,WATEVT,2035,44.93293686
CLEWSity,AGRPST001,WATEVT,2036,43.95703741
CLEWSity,AGRPST001,WATEVT,2037,43.00181782
CLEWSity,AGRPST001,WATEVT,2038,42.04504501
CLEWSity,AGRPST001,WATEVT,2039,40.86297068
CLEWSity,AGRPST001,WATEVT,2040,35.97690936
CLEWSity,AGRPST001,WATEVT,2041,35.09285124
CLEWSity,AGRPST001,WATEVT,2042,33.95851241
