REGION,TIMESLICE,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","SD","AGRCRP001","LNDAGR",2020,181.553918020404
"CLEWSity","SD","AGRCRP001","LNDAGR",2021,162.775462284761
"CLEWSity","SD","AGRCRP001","LNDAGR",2022,167.592894348641
"CLEWSity","SD","AGRCRP001","LNDAGR",2023,122.085220172064
"CLEWSity","SD","AGRCRP001","LNDAGR",2024,155.667402868143
"CLEWSity","SD","AGRCRP001","LNDAGR",2025,145.626614044608
"CLEWSity","SD","AGRCRP001","LNDAGR",2026,173.706600074005
"CLEWSity","SD","AGRCRP001","LNDAGR",2027,134.247987453187
"CLEWSity","SD","AGRCRP001","LNDAGR",2028,142.024687062323
"CLEWSity","SD","AGRCRP001","LNDAGR",2029,158.470578407358
"CLEWSity","SD","AGRCRP001","LNDAGR",2030,136.869675270103
"CLEWSity","SD","AGRCRP001","LNDAGR",2031,131.300975074024
"CLEWSity","SD","AGRCRP001","LNDAGR",2032,136.074106281058
"CLEWSity","SD","AGRCRP001","LNDAGR",2033,134.634171152455
"CLEWSity","SD","AGRCRP001","LNDAGR",2034,147.579731152459
"CLEWSity","SD","AGRCRP001","LNDAGR",2035,137.843137254902
"CLEWSity","SD","AGRCRP001","LNDAGR",2036,140.980392156863
"CLEWSity","SD","AGRCRP001","LNDAGR",2037,143.921568627451
"CLEWSity","SD","AGRCRP001","LNDAGR",2038,147.058823529412
"CLEWSity","SD","AGRCRP001","LNDAGR",2039,150.196078431373
"CLEWSity","SD","AGRCRP001","LNDAGR",2040,153.137254901961
"CLEWSity","SD","AGRCRP001","LNDAGR",2041,157.058823529412
"CLEWSity","SD","AGRCRP001","LNDAGR",2042,160.78431372549
"CLEWSity","SD","AGRCRP001","LNDAGR",2043,164.705882352941
"CLEWSity","SD","AGRCRP001","LNDAGR",2044,168.431372549019
"CLEWSity","SD","AGRCRP001","LNDAGR",2045,189.971107843137
"CLEWSity","SD","AGRCRP001","LNDAGR",2046,221.393888039216
"CLEWSity","SD","AGRCRP001","LNDAGR",2047,180
"CLEWSity","SD","AGRCRP001","LNDAGR",2048,246.761283627451
"CLEWSity","SD","AGRCRP001","LNDAGR",2049,183.921568627451
"CLEWSity","SD","AGRCRP001","LNDAGR",2050,243.354346658282
"CLEWSity","SD","AGRCRP001","LNDAGR",2051,262.033829440547
"CLEWSity","SD","AGRCRP001","LNDAGR",2052,252.245770052618
"CLEWSity","SD","AGRCRP001","LNDAGR",2053,316.973308624528
"CLEWSity","SD","AGRCRP001","LNDAGR",2054,296.955658927593
"CLEWSity","SD","AGRCRP001","LNDAGR",2055,354.938995390947
"CLEWSity","SD","AGRPST001","LNDAGR",2020,3587
"CLEWSity","SD","AGRPST001","LNDAGR",2021,3658.17469879518
"CLEWSity","SD","AGRPST001","LNDAGR",2022,3729.90361445783
"CLEWSity","SD","AGRPST001","LNDAGR",2023,3801.63253012048
"CLEWSity","SD","AGRPST001","LNDAGR",2024,3873.36144578313
"CLEWSity","SD","AGRPST001","LNDAGR",2025,3969
"CLEWSity","SD","AGRPST001","LNDAGR",2026,4040.72891566265
"CLEWSity","SD","AGRPST001","LNDAGR",2027,4112.4578313253
"CLEWSity","SD","AGRPST001","LNDAGR",2028,4208.09638554217
"CLEWSity","SD","AGRPST001","LNDAGR",2029,4279.82530120482
"CLEWSity","SD","AGRPST001","LNDAGR",2030,4375.46385542169
"CLEWSity","SD","AGRPST001","LNDAGR",2031,4471.10240963856
"CLEWSity","SD","AGRPST001","LNDAGR",2032,4542.8313253012
"CLEWSity","SD","AGRPST001","LNDAGR",2033,4638.46987951807
"CLEWSity","SD","AGRPST001","LNDAGR",2034,4734.10843373494
"CLEWSity","SD","AGRPST001","LNDAGR",2035,4780.09966616584
"CLEWSity","SD","AGRPST001","LNDAGR",2036,4676.28057542936
"CLEWSity","SD","AGRPST001","LNDAGR",2037,4574.66147067328
"CLEWSity","SD","AGRPST001","LNDAGR",2038,4472.87712910347
"CLEWSity","SD","AGRPST001","LNDAGR",2039,4347.12454064611
"CLEWSity","SD","AGRPST001","LNDAGR",2040,4227.6039200567
"CLEWSity","SD","AGRPST001","LNDAGR",2041,4123.71929956532
"CLEWSity","SD","AGRPST001","LNDAGR",2042,3990.42448983345
"CLEWSity","SD","AGRPST001","LNDAGR",2043,3859.68787912119
"CLEWSity","SD","AGRPST001","LNDAGR",2044,3753.22935127687
"CLEWSity","SD","AGRPST001","LNDAGR",2045,3622.53002389794
"CLEWSity","SD","AGRPST001","LNDAGR",2046,3495.09379583275
"CLEWSity","SD","AGRPST001","LNDAGR",2047,3367.46501012048
"CLEWSity","SD","AGRPST001","LNDAGR",2048,3239.79729524155
"CLEWSity","SD","AGRPST001","LNDAGR",2049,3110.18779634302
"CLEWSity","SD","AGRPST001","LNDAGR",2050,2956.48601207654
"CLEWSity","SD","AGRPST001","LNDAGR",2051,2824.39295410938
"CLEWSity","SD","AGRPST001","LNDAGR",2052,2661.57374905139
"CLEWSity","SD","AGRPST001","LNDAGR",2053,2480.97598669126
"CLEWSity","SD","AGRPST001","LNDAGR",2054,2295.99965948597
"CLEWSity","SD","AGRPST001","LNDAGR",2055,2117.23044295305
"CLEWSity","SD","AGRPST001","WATAGR",2020,0.046631
"CLEWSity","SD","AGRPST001","WATAGR",2021,0.0475562710843373
"CLEWSity","SD","AGRPST001","WATAGR",2022,0.0484887469879518
"CLEWSity","SD","AGRPST001","WATAGR",2023,0.0494212228915663
"CLEWSity","SD","AGRPST001","WATAGR",2024,0.0503536987951807
"CLEWSity","SD","AGRPST001","WATAGR",2025,0.051597
"CLEWSity","SD","AGRPST001","WATAGR",2026,0.0525294759036145
"CLEWSity","SD","AGRPST001","WATAGR",2027,0.0534619518072289
"CLEWSity","SD","AGRPST001","WATAGR",2028,0.0547052530120482
"CLEWSity","SD","AGRPST001","WATAGR",2029,0.0556377289156627
"CLEWSity","SD","AGRPST001","WATAGR",2030,0.0568810301204819
"CLEWSity","SD","AGRPST001","WATAGR",2031,0.0581243313253012
"CLEWSity","SD","AGRPST001","WATAGR",2032,0.0590568072289156
"CLEWSity","SD","AGRPST001","WATAGR",2033,0.0603001084337349
"CLEWSity","SD","AGRPST001","WATAGR",2034,0.0615434096385542
"CLEWSity","SD","AGRPST001","WATAGR",2035,0.0621412956601559
"CLEWSity","SD","AGRPST001","WATAGR",2036,0.0607916474805817
"CLEWSity","SD","AGRPST001","WATAGR",2037,0.0594705991187527
"CLEWSity","SD","AGRPST001","WATAGR",2038,0.0581474026783451
"CLEWSity","SD","AGRPST001","WATAGR",2039,0.0565126190283995
"CLEWSity","SD","AGRPST001","WATAGR",2040,0.0549588509607371
"CLEWSity","SD","AGRPST001","WATAGR",2041,0.0536083508943491
"CLEWSity","SD","AGRPST001","WATAGR",2042,0.0518755183678348
"CLEWSity","SD","AGRPST001","WATAGR",2043,0.0501759424285755
"CLEWSity","SD","AGRPST001","WATAGR",2044,0.0487919815665993
"CLEWSity","SD","AGRPST001","WATAGR",2045,0.0470928903106733
"CLEWSity","SD","AGRPST001","WATAGR",2046,0.0454362193458257
"CLEWSity","SD","AGRPST001","WATAGR",2047,0.0437770451315663
"CLEWSity","SD","AGRPST001","WATAGR",2048,0.0421173648381402
"CLEWSity","SD","AGRPST001","WATAGR",2049,0.0404324413524593
"CLEWSity","SD","AGRPST001","WATAGR",2050,0.038434318156995
"CLEWSity","SD","AGRPST001","WATAGR",2051,0.0367171084034219
"CLEWSity","SD","AGRPST001","WATAGR",2052,0.0346004587376681
"CLEWSity","SD","AGRPST001","WATAGR",2053,0.0322526878269864
"CLEWSity","SD","AGRPST001","WATAGR",2054,0.0298479955733176
"CLEWSity","SD","AGRPST001","WATAGR",2055,0.0275239957583896
"CLEWSity","SD","AGRPST001","WATPRC",2020,81.60425
"CLEWSity","SD","AGRPST001","WATPRC",2021,83.2234743975903
"CLEWSity","SD","AGRPST001","WATPRC",2022,84.8553072289156
"CLEWSity","SD","AGRPST001","WATPRC",2023,86.487140060241
"CLEWSity","SD","AGRPST001","WATPRC",2024,88.1189728915662
"CLEWSity","SD","AGRPST001","WATPRC",2025,81.16605
"CLEWSity","SD","AGRPST001","WATPRC",2026,82.6329063253012
"CLEWSity","SD","AGRPST001","WATPRC",2027,84.0997626506024
"CLEWSity","SD","AGRPST001","WATPRC",2028,86.0555710843373
"CLEWSity","SD","AGRPST001","WATPRC",2029,87.5224274096386
"CLEWSity","SD","AGRPST001","WATPRC",2030,89.4782358433735
"CLEWSity","SD","AGRPST001","WATPRC",2031,91.4340442771085
"CLEWSity","SD","AGRPST001","WATPRC",2032,92.9009006024096
"CLEWSity","SD","AGRPST001","WATPRC",2033,94.8567090361446
"CLEWSity","SD","AGRPST001","WATPRC",2034,96.8125174698795
"CLEWSity","SD","AGRPST001","WATPRC",2035,97.7530381730914
"CLEWSity","SD","AGRPST001","WATPRC",2036,95.6299377675305
"CLEWSity","SD","AGRPST001","WATPRC",2037,93.5518270752686
"CLEWSity","SD","AGRPST001","WATPRC",2038,91.470337290166
"CLEWSity","SD","AGRPST001","WATPRC",2039,88.898696856213
"CLEWSity","SD","AGRPST001","WATPRC",2040,78.2106725210489
"CLEWSity","SD","AGRPST001","WATPRC",2041,76.2888070419584
"CLEWSity","SD","AGRPST001","WATPRC",2042,73.8228530619188
"CLEWSity","SD","AGRPST001","WATPRC",2043,71.4042257637421
"CLEWSity","SD","AGRPST001","WATPRC",2044,69.4347429986221
"CLEWSity","SD","AGRPST001","WATPRC",2045,67.0168054421119
"CLEWSity","SD","AGRPST001","WATPRC",2046,64.6592352229058
"CLEWSity","SD","AGRPST001","WATPRC",2047,62.298102687229
"CLEWSity","SD","AGRPST001","WATPRC",2048,59.9362499619688
"CLEWSity","SD","AGRPST001","WATPRC",2049,57.5384742323459
"CLEWSity","SD","AGRPST001","WATPRC",2050,54.694991223416
"CLEWSity","SD","AGRPST001","WATPRC",2051,52.2512696510235
"CLEWSity","SD","AGRPST001","WATPRC",2052,49.2391143574507
"CLEWSity","SD","AGRPST001","WATPRC",2053,45.8980557537883
"CLEWSity","SD","AGRPST001","WATPRC",2054,42.4759937004904
"CLEWSity","SD","AGRPST001","WATPRC",2055,39.1687631946313
"CLEWSity","SD","AGRPST002","LNDAGR",2035,24.8236608929831
"CLEWSity","SD","AGRPST002","LNDAGR",2036,124.552483369654
"CLEWSity","SD","AGRPST002","LNDAGR",2037,223.18131285613
"CLEWSity","SD","AGRPST002","LNDAGR",2038,321.892760749469
"CLEWSity","SD","AGRPST002","LNDAGR",2039,444.54315136369
"CLEWSity","SD","AGRPST002","LNDAGR",2040,552.122738766831
"CLEWSity","SD","AGRPST002","LNDAGR",2041,651.884326120955
"CLEWSity","SD","AGRPST002","LNDAGR",2042,778.305827372432
"CLEWSity","SD","AGRPST002","LNDAGR",2043,903.448229114102
"CLEWSity","SD","AGRPST002","LNDAGR",2044,1004.4967701447
"CLEWSity","SD","AGRPST002","LNDAGR",2045,1129.6205302197
"CLEWSity","SD","AGRPST002","LNDAGR",2046,1253.11274063785
"CLEWSity","SD","AGRPST002","LNDAGR",2047,1376.70122987952
"CLEWSity","SD","AGRPST002","LNDAGR",2048,1500.30918370452
"CLEWSity","SD","AGRPST002","LNDAGR",2049,1624.88802953933
"CLEWSity","SD","AGRPST002","LNDAGR",2050,1773.46783733522
"CLEWSity","SD","AGRPST002","LNDAGR",2051,1899.28846270435
"CLEWSity","SD","AGRPST002","LNDAGR",2052,2052.42698089599
"CLEWSity","SD","AGRPST002","LNDAGR",2053,2202.4999584616
"CLEWSity","SD","AGRPST002","LNDAGR",2054,2366.7170377269
"CLEWSity","SD","AGRPST002","LNDAGR",2055,2527.83056165601
"CLEWSity","SD","AGRPST002","WATAGR",2035,0.000645415183217561
"CLEWSity","SD","AGRPST002","WATAGR",2036,0.00323836456761101
"CLEWSity","SD","AGRPST002","WATAGR",2037,0.00580271413425937
"CLEWSity","SD","AGRPST002","WATAGR",2038,0.00836921177948618
"CLEWSity","SD","AGRPST002","WATAGR",2039,0.0115581219354559
"CLEWSity","SD","AGRPST002","WATAGR",2040,0.0143551912079376
"CLEWSity","SD","AGRPST002","WATAGR",2041,0.0169489924791448
"CLEWSity","SD","AGRPST002","WATAGR",2042,0.0202359515116832
"CLEWSity","SD","AGRPST002","WATAGR",2043,0.0234896539569667
"CLEWSity","SD","AGRPST002","WATAGR",2044,0.0261169160237621
"CLEWSity","SD","AGRPST002","WATAGR",2045,0.0293701337857123
"CLEWSity","SD","AGRPST002","WATAGR",2046,0.032580931256584
"CLEWSity","SD","AGRPST002","WATAGR",2047,0.0357942319768674
"CLEWSity","SD","AGRPST002","WATAGR",2048,0.0390080387763176
"CLEWSity","SD","AGRPST002","WATAGR",2049,0.0422470887680227
"CLEWSity","SD","AGRPST002","WATAGR",2050,0.0461101637707158
"CLEWSity","SD","AGRPST002","WATAGR",2051,0.0493815000303131
"CLEWSity","SD","AGRPST002","WATAGR",2052,0.0533631015032958
"CLEWSity","SD","AGRPST002","WATAGR",2053,0.0572649989200016
"CLEWSity","SD","AGRPST002","WATAGR",2054,0.0615346429808993
"CLEWSity","SD","AGRPST002","WATAGR",2055,0.0657235946030562
"CLEWSity","SD","AGRPST002","WATPRC",2035,0.507643865261505
"CLEWSity","SD","AGRPST002","WATPRC",2036,2.54709828490943
"CLEWSity","SD","AGRPST002","WATPRC",2037,4.56405784790785
"CLEWSity","SD","AGRPST002","WATPRC",2038,6.58270695732663
"CLEWSity","SD","AGRPST002","WATPRC",2039,9.09090744538746
"CLEWSity","SD","AGRPST002","WATPRC",2040,10.2142706671864
"CLEWSity","SD","AGRPST002","WATPRC",2041,12.0598600332377
"CLEWSity","SD","AGRPST002","WATPRC",2042,14.39865780639
"CLEWSity","SD","AGRPST002","WATPRC",2043,16.7137922386109
"CLEWSity","SD","AGRPST002","WATPRC",2044,18.5831902476769
"CLEWSity","SD","AGRPST002","WATPRC",2045,20.8979798090645
"CLEWSity","SD","AGRPST002","WATPRC",2046,23.1825857018001
"CLEWSity","SD","AGRPST002","WATPRC",2047,25.468972752771
"CLEWSity","SD","AGRPST002","WATPRC",2048,27.7557198985337
"CLEWSity","SD","AGRPST002","WATPRC",2049,30.0604285464777
"CLEWSity","SD","AGRPST002","WATPRC",2050,32.8091549907017
"CLEWSity","SD","AGRPST002","WATPRC",2051,35.1368365600305
"CLEWSity","SD","AGRPST002","WATPRC",2052,37.9698991465759
"CLEWSity","SD","AGRPST002","WATPRC",2053,40.7462492315396
"CLEWSity","SD","AGRPST002","WATPRC",2054,43.7842651979476
"CLEWSity","SD","AGRPST002","WATPRC",2055,46.7648653906361
"CLEWSity","SD","FORWOO001","FORSTK",2020,1.310945
"CLEWSity","SD","FORWOO001","FORSTK",2021,1.319935
"CLEWSity","SD","FORWOO001","FORSTK",2022,1.329215
