REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2021,82.8166445783132
"CLEWSity","AGRPST001",2022,82.9646204819277
"CLEWSity","AGRPST001",2023,83.231620481928
"CLEWSity","AGRPST001",2024,82.9646204819276
"CLEWSity","AGRPST001",2025,89.3484939759038
"CLEWSity","AGRPST001",2026,82.9646204819279
"CLEWSity","AGRPST001",2027,82.9646204819273
"CLEWSity","AGRPST001",2028,89.3484939759041
"CLEWSity","AGRPST001",2029,82.9646204819275
"CLEWSity","AGRPST001",2030,89.348493975904
"CLEWSity","AGRPST001",2031,89.615493975904
"CLEWSity","AGRPST001",2032,82.9646204819278
"CLEWSity","AGRPST001",2033,89.3484939759036
"CLEWSity","AGRPST001",2034,89.3484939759035
"CLEWSity","AGRPST001",2035,89.348493975904
"CLEWSity","AGRPST001",2036,108.352138554217
"CLEWSity","AGRPST001",2037,108.500114457831
"CLEWSity","AGRPST001",2038,108.767114457832
"CLEWSity","AGRPST001",2039,114.883987951807
"CLEWSity","AGRPST001",2040,114.883987951808
"CLEWSity","AGRPST001",2041,108.500114457832
"CLEWSity","AGRPST001",2042,114.883987951807
"CLEWSity","AGRPST001",2043,121.267861445784
"CLEWSity","AGRPST001",2044,108.500114457831
"CLEWSity","AGRPST001",2045,121.267861445784
"CLEWSity","AGRPST001",2046,121.534861445783
"CLEWSity","AGRPST001",2047,114.883987951808
"CLEWSity","AGRPST001",2048,121.267861445783
"CLEWSity","AGRPST001",2049,121.267861445784
"CLEWSity","AGRPST001",2050,127.651734939759
"CLEWSity","AGRPST001",2051,140.271506024097
"CLEWSity","AGRPST001",2052,146.803355421686
"CLEWSity","AGRPST001",2053,140.686481927711
"CLEWSity","AGRPST001",2054,153.187228915663
"CLEWSity","AGRPST001",2055,153.187228915663
"CLEWSity","LNDBLT001",2021,871.200000000001
"CLEWSity","LNDBLT001",2022,871.200000000001
"CLEWSity","LNDBLT001",2023,871.200000000001
"CLEWSity","LNDBLT001",2024,871.200000000004
"CLEWSity","LNDBLT001",2025,871.200000000001
"CLEWSity","LNDBLT001",2026,890.559999999996
"CLEWSity","LNDBLT001",2027,871.200000000003
"CLEWSity","LNDBLT001",2028,890.560000000002
"CLEWSity","LNDBLT001",2029,871.199999999999
"CLEWSity","LNDBLT001",2030,890.560000000002
"CLEWSity","LNDBLT001",2031,890.560000000002
"CLEWSity","LNDBLT001",2032,890.559999999999
"CLEWSity","LNDBLT001",2033,890.560000000001
"CLEWSity","LNDBLT001",2034,890.559999999999
"CLEWSity","LNDBLT001",2035,890.560000000004
"CLEWSity","LNDBLT001",2036,890.559999999997
"CLEWSity","LNDBLT001",2037,890.560000000002
"CLEWSity","LNDBLT001",2038,909.920000000011
"CLEWSity","LNDBLT001",2039,890.559999999991
"CLEWSity","LNDBLT001",2040,909.920000000006
"CLEWSity","LNDBLT001",2041,1045.44
"CLEWSity","LNDBLT001",2042,1064.8
"CLEWSity","LNDBLT001",2043,1045.44
"CLEWSity","LNDBLT001",2044,1045.44
"CLEWSity","LNDBLT001",2045,1064.8
"CLEWSity","LNDBLT001",2046,1064.79999999999
"CLEWSity","LNDBLT001",2047,1064.80000000001
"CLEWSity","LNDBLT001",2048,1084.16
"CLEWSity","LNDBLT001",2049,1064.79999999999
"CLEWSity","LNDBLT001",2050,1084.16000000001
"CLEWSity","LNDBLT001",2051,1084.16
"CLEWSity","LNDBLT001",2052,1084.16
"CLEWSity","LNDBLT001",2053,1103.52
"CLEWSity","LNDBLT001",2054,1084.16
"CLEWSity","LNDBLT001",2055,1084.16
"CLEWSity","LNDCRP001I",2025,15.0019117647058
"CLEWSity","LNDCRP001I",2026,2.4528349630455
"CLEWSity","LNDCRP001I",2027,6.75084150754283
"CLEWSity","LNDCRP001I",2028,4.23794117647043
"CLEWSity","LNDCRP001I",2029,4.96948529411782
"CLEWSity","LNDCRP001I",2030,32.1762132352941
"CLEWSity","LNDCRP001I",2031,35.1181617647058
"CLEWSity","LNDCRP001I",2032,34.3820955882354
"CLEWSity","LNDCRP001I",2033,35.1173897058826
"CLEWSity","LNDCRP001I",2034,35.1181617647059
"CLEWSity","LNDCRP001I",2035,34.3820955882353
"CLEWSity","LNDCRP001I",2036,45.6954044117646
"CLEWSity","LNDCRP001I",2037,44.3738970588237
"CLEWSity","LNDCRP001I",2038,21.8804411764702
"CLEWSity","LNDCRP001I",2052,45.7607077205887
"CLEWSity","LNDCRP001I",2053,23.8187224264703
"CLEWSity","LNDCRP001I",2054,1.38904411764723
"CLEWSity","LNDCRP001I",2055,1.93828124999975
"CLEWSity","LNDCRP001R",2021,31.3335339506174
"CLEWSity","LNDCRP001R",2022,30.7921913580247
"CLEWSity","LNDCRP001R",2023,39.0467746913581
"CLEWSity","LNDCRP001R",2024,25.80325
"CLEWSity","LNDCRP001R",2025,25.8005
"CLEWSity","LNDCRP001R",2026,25.8032500000001
"CLEWSity","LNDCRP001R",2027,25.80325
"CLEWSity","LNDCRP001R",2028,25.8005
"CLEWSity","LNDCRP001R",2029,25.8032500000001
"CLEWSity","LNDCRP001R",2038,29.705330246914
"CLEWSity","LNDCRP001R",2039,36.6674475308644
"CLEWSity","LNDCRP001R",2040,49.8393024691356
