REGION,TIMESLICE,COMMODITY,YEAR,VALUE
"CLEWSity","SD","ELC002",2020,13.65
"CLEWSity","SD","ELC002",2021,14.49
"CLEWSity","SD","ELC002",2022,15.54
"CLEWSity","SD","ELC002",2023,16.59
"CLEWSity","SD","ELC002",2024,17.43
"CLEWSity","SD","ELC002",2025,18.48
"CLEWSity","SD","ELC002",2026,19.74
"CLEWSity","SD","ELC002",2027,20.79
"CLEWSity","SD","ELC002",2028,21.84
"CLEWSity","SD","ELC002",2029,23.1
"CLEWSity","SD","ELC002",2030,24.36
"CLEWSity","SD","ELC002",2031,25.62
"CLEWSity","SD","ELC002",2032,26.88
"CLEWSity","SD","ELC002",2033,28.14
"CLEWSity","SD","ELC002",2034,29.61
"CLEWSity","SD","ELC002",2035,31.08
"CLEWSity","SD","ELC002",2036,32.55
"CLEWSity","SD","ELC002",2037,34.02
"CLEWSity","SD","ELC002",2038,35.49
"CLEWSity","SD","ELC002",2039,37.17
"CLEWSity","SD","ELC002",2040,38.64
"CLEWSity","SD","ELC002",2041,40.32
"CLEWSity","SD","ELC002",2042,42
"CLEWSity","SD","ELC002",2043,43.89
"CLEWSity","SD","ELC002",2044,45.57
"CLEWSity","SD","ELC002",2045,47.46
"CLEWSity","SD","ELC002",2046,49.35
"CLEWSity","SD","ELC002",2047,51.24
"CLEWSity","SD","ELC002",2048,53.34
"CLEWSity","SD","ELC002",2049,55.44
"CLEWSity","SD","ELC002",2050,57.54
"CLEWSity","SD","ELC002",2051,59.43
"CLEWSity","SD","ELC002",2052,61.53
"CLEWSity","SD","ELC002",2053,63.63
"CLEWSity","SD","ELC002",2054,65.73
"CLEWSity","SD","ELC002",2055,68.04
"CLEWSity","SN","ELC002",2020,5.85
"CLEWSity","SN","ELC002",2021,6.21
"CLEWSity","SN","ELC002",2022,6.66
"CLEWSity","SN","ELC002",2023,7.11
"CLEWSity","SN","ELC002",2024,7.47
"CLEWSity","SN","ELC002",2025,7.92
"CLEWSity","SN","ELC002",2026,8.46
"CLEWSity","SN","ELC002",2027,8.91
"CLEWSity","SN","ELC002",2028,9.36
"CLEWSity","SN","ELC002",2029,9.9
"CLEWSity","SN","ELC002",2030,10.44
"CLEWSity","SN","ELC002",2031,10.98
"CLEWSity","SN","ELC002",2032,11.52
"CLEWSity","SN","ELC002",2033,12.06
"CLEWSity","SN","ELC002",2034,12.69
"CLEWSity","SN","ELC002",2035,13.32
"CLEWSity","SN","ELC002",2036,13.95
"CLEWSity","SN","ELC002",2037,14.58
"CLEWSity","SN","ELC002",2038,15.21
"CLEWSity","SN","ELC002",2039,15.93
"CLEWSity","SN","ELC002",2040,16.56
"CLEWSity","SN","ELC002",2041,17.28
"CLEWSity","SN","ELC002",2042,18
"CLEWSity","SN","ELC002",2043,18.81
"CLEWSity","SN","ELC002",2044,19.53
"CLEWSity","SN","ELC002",2045,20.34
"CLEWSity","SN","ELC002",2046,21.15
"CLEWSity","SN","ELC002",2047,21.96
"CLEWSity","SN","ELC002",2048,22.86
"CLEWSity","SN","ELC002",2049,23.76
"CLEWSity","SN","ELC002",2050,24.66
"CLEWSity","SN","ELC002",2051,25.47
"CLEWSity","SN","ELC002",2052,26.37
"CLEWSity","SN","ELC002",2053,27.27
"CLEWSity","SN","ELC002",2054,28.17
"CLEWSity","SN","ELC002",2055,29.16
"CLEWSity","WD","ELC002",2020,29.9
"CLEWSity","WD","ELC002",2021,31.74
"CLEWSity","WD","ELC002",2022,34.04
"CLEWSity","WD","ELC002",2023,36.34
"CLEWSity","WD","ELC002",2024,38.18
"CLEWSity","WD","ELC002",2025,40.48
"CLEWSity","WD","ELC002",2026,43.24
"CLEWSity","WD","ELC002",2027,45.54
"CLEWSity","WD","ELC002",2028,47.84
"CLEWSity","WD","ELC002",2029,50.6
"CLEWSity","WD","ELC002",2030,53.36
"CLEWSity","WD","ELC002",2031,56.12
"CLEWSity","WD","ELC002",2032,58.88
"CLEWSity","WD","ELC002",2033,61.64
"CLEWSity","WD","ELC002",2034,64.86
"CLEWSity","WD","ELC002",2035,68.08
"CLEWSity","WD","ELC002",2036,71.3
"CLEWSity","WD","ELC002",2037,74.52
"CLEWSity","WD","ELC002",2038,77.74
"CLEWSity","WD","ELC002",2039,81.42
"CLEWSity","WD","ELC002",2040,84.64
"CLEWSity","WD","ELC002",2041,88.32
"CLEWSity","WD","ELC002",2042,92
"CLEWSity","WD","ELC002",2043,96.14
"CLEWSity","WD","ELC002",2044,99.82
"CLEWSity","WD","ELC002",2045,103.96
"CLEWSity","WD","ELC002",2046,108.1
"CLEWSity","WD","ELC002",2047,112.24
"CLEWSity","WD","ELC002",2048,116.84
"CLEWSity","WD","ELC002",2049,121.44
"CLEWSity","WD","ELC002",2050,126.04
"CLEWSity","WD","ELC002",2051,130.18
"CLEWSity","WD","ELC002",2052,134.78
"CLEWSity","WD","ELC002",2053,139.38
"CLEWSity","WD","ELC002",2054,143.98
"CLEWSity","WD","ELC002",2055,149.04
"CLEWSity","WN","ELC002",2020,15.6
"CLEWSity","WN","ELC002",2021,16.56
"CLEWSity","WN","ELC002",2022,17.76
"CLEWSity","WN","ELC002",2023,18.96
"CLEWSity","WN","ELC002",2024,19.92
"CLEWSity","WN","ELC002",2025,21.12
"CLEWSity","WN","ELC002",2026,22.56
"CLEWSity","WN","ELC002",2027,23.76
"CLEWSity","WN","ELC002",2028,24.96
"CLEWSity","WN","ELC002",2029,26.4
"CLEWSity","WN","ELC002",2030,27.84
"CLEWSity","WN","ELC002",2031,29.28
"CLEWSity","WN","ELC002",2032,30.72
"CLEWSity","WN","ELC002",2033,32.16
"CLEWSity","WN","ELC002",2034,33.84
"CLEWSity","WN","ELC002",2035,35.52
"CLEWSity","WN","ELC002",2036,37.2
"CLEWSity","WN","ELC002",2037,38.88
"CLEWSity","WN","ELC002",2038,40.56
"CLEWSity","WN","ELC002",2039,42.48
"CLEWSity","WN","ELC002",2040,44.16
"CLEWSity","WN","ELC002",2041,46.08
"CLEWSity","WN","ELC002",2042,48
"CLEWSity","WN","ELC002",2043,50.16
"CLEWSity","WN","ELC002",2044,52.08
"CLEWSity","WN","ELC002",2045,54.24
"CLEWSity","WN","ELC002",2046,56.4
"CLEWSity","WN","ELC002",2047,58.56
"CLEWSity","WN","ELC002",2048,60.96
"CLEWSity","WN","ELC002",2049,63.36
"CLEWSity","WN","ELC002",2050,65.76
"CLEWSity","WN","ELC002",2051,67.92
"CLEWSity","WN","ELC002",2052,70.32
"CLEWSity","WN","ELC002",2053,72.72
"CLEWSity","WN","ELC002",2054,75.12
"CLEWSity","WN","ELC002",2055,77.76
