REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2042,1.82000420513015
"CLEWSity","AGRPST001",2043,3.75079362782218
"CLEWSity","AGRPST001",2044,4.91495540957413
"CLEWSity","AGRPST001",2045,7.1528740158695
"CLEWSity","AGRPST001",2046,8.75262781969719
"CLEWSity","AGRPST001",2047,9.69966995169119
"CLEWSity","AGRPST001",2048,11.6722441195327
"CLEWSity","AGRPST001",2049,13.0375611705999
"CLEWSity","AGRPST001",2050,15.0926476420571
"CLEWSity","AGRPST001",2051,18.0171683552558
"CLEWSity","AGRPST001",2052,20.2839137083323
"CLEWSity","AGRPST001",2053,20.7418570510471
"CLEWSity","AGRPST001",2054,23.9362196742854
"CLEWSity","AGRPST001",2055,25.2232078618422
"CLEWSity","LNDBLT001",2037,11.7507082030572
"CLEWSity","LNDBLT001",2038,23.4405949350844
"CLEWSity","LNDBLT001",2039,33.6000976055669
"CLEWSity","LNDBLT001",2040,44.7019055338002
"CLEWSity","LNDBLT001",2041,62.7082488155966
"CLEWSity","LNDBLT001",2042,74.8778671247199
"CLEWSity","LNDBLT001",2043,83.8099775904525
"CLEWSity","LNDBLT001",2044,93.6133359062979
"CLEWSity","LNDBLT001",2045,104.856346665964
"CLEWSity","LNDBLT001",2046,113.912947108921
"CLEWSity","LNDBLT001",2047,122.538280864119
"CLEWSity","LNDBLT001",2048,133.130209612142
"CLEWSity","LNDBLT001",2049,138.576316417999
"CLEWSity","LNDBLT001",2050,148.682244088636
"CLEWSity","LNDBLT001",2051,155.9073472136
"CLEWSity","LNDBLT001",2052,162.788397808808
"CLEWSity","LNDBLT001",2053,172.365739673196
"CLEWSity","LNDBLT001",2054,175.583095060666
"CLEWSity","LNDBLT001",2055,181.527205282203
"CLEWSity","LNDCRP001I",2052,6.32278631486593
"CLEWSity","LNDCRP001I",2053,3.51167026809491
"CLEWSity","LNDCRP001I",2054,0.217044628149668
"CLEWSity","LNDCRP001I",2055,0.319149782978131
"CLEWSity","LNDCRP001R",2042,0.711921942522159
"CLEWSity","LNDCRP001R",2043,1.33908516144519
"CLEWSity","LNDCRP001R",2044,1.96115979237928
"CLEWSity","LNDCRP001R",2045,2.55363282357274
"CLEWSity","LNDCRP001R",2046,3.26464636192361
"CLEWSity","LNDCRP001R",2047,3.82727065809166
"CLEWSity","LNDCRP001R",2048,4.42850834969791
"CLEWSity","LNDCRP001R",2049,4.87359226682815
"CLEWSity","LNDCRP001R",2050,5.35957599113881
"CLEWSity","LNDCRP001R",2051,4.89371303787344
"CLEWSity","LNDCRP001R",2052,2.01573693777245
"CLEWSity","LNDCRP001R",2053,6.53041762151092
"CLEWSity","LNDCRP001R",2054,8.00859045396435
"CLEWSity","LNDCRP001R",2055,10.6084702430212
"CLEWSity","LNDCRP002I",2042,2.08484270781372
"CLEWSity","LNDCRP002I",2043,0.923192025975251
"CLEWSity","LNDCRP002I",2044,3.48371135708505
"CLEWSity","LNDCRP002I",2045,7.76250152238329
"CLEWSity","LNDCRP002I",2046,3.70246580275997
"CLEWSity","LNDCRP002I",2047,1.54400332416619
"CLEWSity","LNDCRP002I",2048,1.76000178512859
"CLEWSity","LNDCRP002R",2042,0.524488532253704
"CLEWSity","LNDCRP002R",2043,1.02408647713075
"CLEWSity","LNDCRP002R",2044,1.49985255245281
"CLEWSity","LNDCRP002R",2045,1.95263868790344
"CLEWSity","LNDCRP002R",2046,2.498572557406
"CLEWSity","LNDCRP002R",2047,2.92898672139379
"CLEWSity","LNDCRP002R",2048,3.33935828219516
"CLEWSity","LNDCRP002R",2049,3.72996721357221
"CLEWSity","LNDCRP002R",2050,6.90761526346476
"CLEWSity","LNDCRP002R",2052,3.07036244620071
"CLEWSity","LNDCRP002R",2053,12.5461553803625
"CLEWSity","LNDCRP002R",2054,6.7978593535568
"CLEWSity","LNDCRP002R",2055,7.16381534948478
"CLEWSity","LNDFOR001",2046,2.01648791166674
"CLEWSity","LNDFOR001",2047,8.22687179425979
"CLEWSity","LNDFOR001",2048,9.48657267231089
"CLEWSity","LNDFOR001",2049,10.4758172966645
"CLEWSity","LNDFOR001",2050,11.6530445301283
"CLEWSity","PRCCRP002",2027,0.858069914851907
"CLEWSity","PRCCRP002",2028,0.060095546747913
"CLEWSity","PRCCRP002",2029,1.15596666756794
"CLEWSity","PRCCRP002",2030,3.08714547471281
"CLEWSity","PRCCRP002",2031,0.932456249986819
"CLEWSity","PRCCRP002",2032,1.08029626781646
"CLEWSity","PRCCRP002",2033,1.21687766353908
"CLEWSity","PRCCRP002",2034,0.413625854507378
"CLEWSity","PRCCRP002",2035,1.4079247264051
"CLEWSity","PRCCRP002",2036,2.70288705939142
"CLEWSity","PRCCRP002",2037,1.66291127181683
"CLEWSity","PRCCRP002",2038,1.75847871509397
"CLEWSity","PRCCRP002",2039,1.83448154267574
"CLEWSity","PRCCRP002",2040,1.90925762856647
"CLEWSity","PRCCRP002",2041,2.47154557247067
"CLEWSity","PRCCRP002",2042,2.54883050442283
"CLEWSity","PRCCRP002",2043,2.61865748819497
"CLEWSity","PRCCRP002",2044,2.68164334901972
"CLEWSity","PRCCRP002",2045,2.73824021928955
"CLEWSity","PRCCRP002",2046,2.7962468190023
"CLEWSity","PRCCRP002",2050,21.9124097061873
"CLEWSity","PWRBIO001",2027,3.6582966749006
"CLEWSity","PWRBIO001",2028,0.258557985035177
"CLEWSity","PWRBIO001",2029,5.01745106058902
"CLEWSity","PWRBIO001",2030,27.0503234080448
"CLEWSity","PWRBIO001",2031,4.124191715236
"CLEWSity","PWRBIO001",2032,4.82218279155475
"CLEWSity","PWRBIO001",2033,5.48516849776133
"CLEWSity","PWRBIO001",2034,1.88292071459998
"CLEWSity","PWRBIO001",2035,6.47105828702384
"CLEWSity","PWRBIO001",2036,12.5502719780159
"CLEWSity","PWRBIO001",2037,7.81798774712247
"CLEWSity","PWRBIO001",2038,8.37026521180448
"CLEWSity","PWRBIO001",2039,8.84122036115932
"CLEWSity","PWRBIO001",2040,34.1314524567427
"CLEWSity","PWRBIO001",2041,12.211653131763
"CLEWSity","PWRBIO001",2042,12.7506206952072
"CLEWSity","PWRBIO001",2043,13.2639231365827
"CLEWSity","PWRBIO001",2044,13.7527826045595
"CLEWSity","PWRBIO001",2045,14.2183630502513
"CLEWSity","PWRBIO001",2046,45.9428638229601
"CLEWSity","PWRDSL001",2033,0.0350904611162412
"CLEWSity","PWRDSL001",2040,13.3461895381429
"CLEWSity","PWRDSL001",2043,7.15631276070633
"CLEWSity","PWRDSL001",2044,3.97575102375085
"CLEWSity","PWRDSL001",2045,7.00223819732454
"CLEWSity","PWRDSL001",2046,64.0960679548692
"CLEWSity","PWRDSL001",2047,9.52577785444785
"CLEWSity","PWRDSL001",2048,13.1111484745405
"CLEWSity","PWRDSL001",2049,13.5943969891521
"CLEWSity","PWRDSL001",2050,15.1462357852045
"CLEWSity","PWRDSL001",2051,34.6267391304488
"CLEWSity","PWRDSL001",2052,71.4807823610207
"CLEWSity","PWRDSL001",2053,44.7287190127157
"CLEWSity","PWRDSL001",2054,37.2223703612809
"CLEWSity","PWRDSL001",2055,51.1374840661699
"CLEWSity","PWRGAS001",2026,23.351045817952
"CLEWSity","PWRGAS001",2030,19.168029099186
"CLEWSity","PWRGAS001",2031,20.8236006153607
"CLEWSity","PWRGAS001",2032,22.4003353926699
"CLEWSity","PWRGAS001",2033,23.9019875615358
"CLEWSity","PWRGAS001",2034,25.3321324842652
"CLEWSity","PWRGAS001",2035,26.6941752678171
"CLEWSity","PWRGAS001",2036,27.9913588711998
"CLEWSity","PWRGAS001",2037,29.2267718268024
"CLEWSity","PWRGAS001",2038,30.4033555940429
"CLEWSity","PWRGAS001",2039,31.5239115628435
"CLEWSity","PWRGAS001",2040,32.5911077236059
"CLEWSity","PWRGAS001",2041,33.6074850195701
"CLEWSity","PWRGAS001",2042,34.5754633966788
"CLEWSity","PWRGAS001",2043,35.4973475653539
"CLEWSity","PWRGAS001",2044,36.3753324879015
"CLEWSity","PWRGAS001",2045,37.2115086046135
"CLEWSity","PWRGAS001",2046,38.0078668110059
"CLEWSity","PWRGAS001",2047,38.7663031980463
"CLEWSity","PWRGAS001",2048,39.4886235666562
"CLEWSity","PWRGAS001",2049,40.1765477272371
"CLEWSity","PWRGAS001",2050,40.8317135944569
"CLEWSity","PWRGAS001",2051,36.6255787070613
"CLEWSity","PWRHYD001",2027,107.615992230001
"CLEWSity","PWRHYD001",2029,113.218077613899
"CLEWSity","PWRHYD001",2030,115.820672449624
"CLEWSity","PWRHYD001",2031,118.299334197934
"CLEWSity","PWRHYD001",2032,120.659964434419
"CLEWSity","PWRHYD001",2033,122.908183707262
"CLEWSity","PWRHYD001",2034,125.049344919493
"CLEWSity","PWRHYD001",2035,127.088546074
"CLEWSity","PWRHYD001",2036,129.030642411624
"CLEWSity","PWRHYD001",2037,130.880257971267
"CLEWSity","PWRHYD001",2038,132.641796599499
"CLEWSity","PWRHYD001",2039,134.319452435909
"CLEWSity","PWRHYD001",2040,135.917219899158
"CLEWSity","PWRHYD001",2041,137.438903197489
"CLEWSity","PWRHYD001",2042,138.888125386377
"CLEWSity","PWRHYD001",2043,140.268336994841
"CLEWSity","PWRSOL001",2032,3.72180880040618
"CLEWSity","PWRSOL001",2033,7.17527401959184
"CLEWSity","PWRSOL001",2034,10.3669501406732
"CLEWSity","PWRSOL001",2035,13.3250827623636
"CLEWSity","PWRSOL001",2036,16.0572892285591
"CLEWSity","PWRSOL001",2037,18.5606113245532
"CLEWSity","PWRSOL001",2038,20.8758625649823
"CLEWSity","PWRSOL001",2039,23.0010289020904
"CLEWSity","PWRSOL001",2040,24.9249728148903
"CLEWSity","PWRSOL001",2041,27.0777802224872
"CLEWSity","PWRSOL001",2042,29.1280729916271
"CLEWSity","PWRSOL001",2043,31.0807327717603
"CLEWSity","PWRSOL001",2044,32.9404087528396
"CLEWSity","PWRSOL001",2045,34.7115287348198
"CLEWSity","PWRSOL001",2046,36.3983096700391
"CLEWSity","PWRSOL001",2047,38.0047677035813
"CLEWSity","PWRSOL001",2048,39.5347277355262
"CLEWSity","PWRSOL001",2049,40.9918325278548
"CLEWSity","PWRSOL001",2050,42.3795513776914
"CLEWSity","PWRSOL001",2051,43.7011883775359
"CLEWSity","PWRSOL001",2052,44.9598902821497
"CLEWSity","PWRSOL001",2053,46.1586540008294
"CLEWSity","PWRSOL001",2054,47.3003337329054
"CLEWSity","PWRSOL001",2055,48.387647763454
"CLEWSity","PWRTRN001",2023,69.3897932932462
"CLEWSity","PWRTRN001",2024,126.243524958404
"CLEWSity","PWRTRN001",2025,157.322541781461
"CLEWSity","PWRTRN001",2026,150.769871160267
"CLEWSity","PWRTRN001",2027,134.756816442962
"CLEWSity","PWRTRN001",2028,127.060833583481
"CLEWSity","PWRTRN001",2029,168.803241566501
"CLEWSity","PWRTRN001",2030,179.404070773957
"CLEWSity","PWRTRN001",2031,173.191329220588
"CLEWSity","PWRTRN001",2032,176.629416832881
"CLEWSity","PWRTRN001",2033,179.93872791146
"CLEWSity","PWRTRN001",2034,217.269325158731
"CLEWSity","PWRTRN001",2035,243.085517127407
"CLEWSity","PWRTRN001",2036,229.272883701564
"CLEWSity","PWRTRN001",2037,229.91650144813
"CLEWSity","PWRTRN001",2038,233.023434443265
"CLEWSity","PWRTRN001",2039,275.291215505803
"CLEWSity","PWRTRN001",2040,238.969442448522
"CLEWSity","PWRTRN001",2041,282.446187451758
"CLEWSity","PWRTRN001",2042,285.445279240121
"CLEWSity","PWRTRN001",2043,329.336238760867
"CLEWSity","PWRTRN001",2044,291.114354961558
"CLEWSity","PWRTRN001",2045,335.515322176521
"CLEWSity","PWRTRN001",2046,338.546221330629
"CLEWSity","PWRTRN001",2047,335.942100613282
"CLEWSity","PWRTRN001",2048,381.247834690105
"CLEWSity","PWRTRN001",2049,383.93306109875
"CLEWSity","PWRTRN001",2050,383.805623434236
"CLEWSity","PWRTRN001",2051,365.964553271912
"CLEWSity","PWRTRN001",2052,354.859008374499
"CLEWSity","PWRTRN001",2053,421.537134988019
"CLEWSity","PWRTRN001",2054,445.478203207072
"CLEWSity","PWRTRN001",2055,492.527712360889
"CLEWSity","PWRWND001",2032,3.57888667562569
"CLEWSity","PWRWND001",2033,6.98735017622157
"CLEWSity","PWRWND001",2034,10.2335058910748
"CLEWSity","PWRWND001",2035,13.3250827623636
"CLEWSity","PWRWND001",2036,16.2694416874005
"CLEWSity","PWRWND001",2037,19.0735930445786
"CLEWSity","PWRWND001",2038,21.7442133847481
"CLEWSity","PWRWND001",2039,24.2876613277667
"CLEWSity","PWRWND001",2040,26.7099927020702
"CLEWSity","PWRWND001",2041,29.0169749633116
"CLEWSity","PWRWND001",2042,31.2141009263986
"CLEWSity","PWRWND001",2043,33.3066018436244
"CLEWSity","PWRWND001",2044,35.2994598600298
"CLEWSity","PWRWND001",2045,37.1974198756541
"CLEWSity","PWRWND001",2046,39.0050008429153
"CLEWSity","PWRWND001",2047,40.7265065260212
"CLEWSity","PWRWND001",2048,42.3660357480268
"CLEWSity","PWRWND001",2049,43.9274921499369
"CLEWSity","PWRWND001",2050,45.4145934850894
"CLEWSity","PWRWND001",2051,46.8308804709489
"CLEWSity","PWRWND001",2052,48.1797252193866
"CLEWSity","PWRWND001",2053,49.4643392655177
"CLEWSity","PWRWND001",2054,50.6877812142139
"CLEWSity","PWRWND001",2055,51.8529640224961
"CLEWSity","WATAGR001",2047,0.546381143418943
"CLEWSity","WATAGR001",2048,0.145250922433182
"CLEWSity","WATAGR001",2049,0.862886560543986
"CLEWSity","WATAGR001",2050,3.16161556071363
"CLEWSity","WATELC001",2047,0.0223994915815721
"CLEWSity","WATELC001",2048,0.056683618620344
