REGION,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","AGRCRP001","LNDCRP",2020,205.816742081448
"CLEWSity","AGRCRP001","LNDCRP",2021,186.962452345679
"CLEWSity","AGRCRP001","LNDCRP",2022,191.252332839506
"CLEWSity","AGRCRP001","LNDCRP",2023,198.869657892157
"CLEWSity","AGRCRP001","LNDCRP",2024,203.421425294118
"CLEWSity","AGRCRP001","LNDCRP",2025,208.136852352941
"CLEWSity","AGRCRP001","LNDCRP",2026,212.705340588235
"CLEWSity","AGRCRP001","LNDCRP",2027,217.364983480392
"CLEWSity","AGRCRP001","LNDCRP",2028,221.915315465686
"CLEWSity","AGRCRP001","LNDCRP",2029,226.629722941176
"CLEWSity","AGRCRP001","LNDCRP",2030,227.403495588235
"CLEWSity","AGRCRP001","LNDCRP",2031,229.135947941176
"CLEWSity","AGRCRP001","LNDCRP",2032,230.75019747549
"CLEWSity","AGRCRP001","LNDCRP",2033,232.528185
"CLEWSity","AGRCRP001","LNDCRP",2034,234.279131102941
"CLEWSity","AGRCRP001","LNDCRP",2035,235.920826470588
"CLEWSity","AGRCRP001","LNDCRP",2036,235.748942090595
"CLEWSity","AGRCRP001","LNDCRP",2037,235.5693539252
"CLEWSity","AGRCRP001","LNDCRP",2038,238.626785771605
"CLEWSity","AGRCRP001","LNDCRP",2039,244.684939722222
"CLEWSity","AGRCRP001","LNDCRP",2040,252.541330918664
"CLEWSity","AGRCRP001","LNDCRP",2041,260.439360234633
"CLEWSity","AGRCRP001","LNDCRP",2042,268.681890038126
"CLEWSity","AGRCRP001","LNDCRP",2043,276.848717018882
"CLEWSity","AGRCRP001","LNDCRP",2044,284.830812583515
"CLEWSity","AGRCRP001","LNDCRP",2045,296.77308422658
"CLEWSity","AGRCRP001","LNDCRP",2046,308.897395330429
"CLEWSity","AGRCRP001","LNDCRP",2047,321.117760410313
"CLEWSity","AGRCRP001","LNDCRP",2048,333.457564830247
"CLEWSity","AGRCRP001","LNDCRP",2049,345.586711350762
"CLEWSity","AGRCRP001","LNDCRP",2050,357.807076430641
"CLEWSity","AGRCRP001","LNDCRP",2051,394.592403259174
"CLEWSity","AGRCRP001","LNDCRP",2052,438.685875582609
"CLEWSity","AGRCRP001","LNDCRP",2053,457.996090692716
"CLEWSity","AGRCRP001","LNDCRP",2054,468.580558970587
"CLEWSity","AGRCRP001","LNDCRP",2055,479.320481470588
"CLEWSity","AGRPST001","CTL",2020,4762.8
"CLEWSity","AGRPST001","CTL",2021,4858.056
"CLEWSity","AGRPST001","CTL",2022,4953.312
"CLEWSity","AGRPST001","CTL",2023,5048.568
"CLEWSity","AGRPST001","CTL",2024,5143.824
"CLEWSity","AGRPST001","CTL",2025,5270.832
"CLEWSity","AGRPST001","CTL",2026,5366.088
"CLEWSity","AGRPST001","CTL",2027,5461.344
"CLEWSity","AGRPST001","CTL",2028,5588.352
"CLEWSity","AGRPST001","CTL",2029,5683.608
"CLEWSity","AGRPST001","CTL",2030,5810.616
"CLEWSity","AGRPST001","CTL",2031,5937.624
"CLEWSity","AGRPST001","CTL",2032,6032.88
"CLEWSity","AGRPST001","CTL",2033,6159.888
"CLEWSity","AGRPST001","CTL",2034,6286.896
"CLEWSity","AGRPST001","CTL",2035,6413.904
"CLEWSity","AGRPST001","CTL",2036,6540.912
"CLEWSity","AGRPST001","CTL",2037,6667.92
"CLEWSity","AGRPST001","CTL",2038,6794.928
"CLEWSity","AGRPST001","CTL",2039,6953.688
"CLEWSity","AGRPST001","CTL",2040,7080.696
"CLEWSity","AGRPST001","CTL",2041,7207.704
"CLEWSity","AGRPST001","CTL",2042,7366.464
"CLEWSity","AGRPST001","CTL",2043,7525.224
"CLEWSity","AGRPST001","CTL",2044,7652.232
"CLEWSity","AGRPST001","CTL",2045,7810.992
"CLEWSity","AGRPST001","CTL",2046,7969.752
"CLEWSity","AGRPST001","CTL",2047,8128.512
"CLEWSity","AGRPST001","CTL",2048,8287.272
"CLEWSity","AGRPST001","CTL",2049,8446.032
"CLEWSity","AGRPST001","CTL",2050,8636.544
"CLEWSity","AGRPST001","CTL",2051,8795.304
"CLEWSity","AGRPST001","CTL",2052,8985.816
"CLEWSity","AGRPST001","CTL",2053,9144.576
"CLEWSity","AGRPST001","CTL",2054,9335.088
"CLEWSity","AGRPST001","CTL",2055,9525.6
"CLEWSity","AGRPST001","LND001",2020,3586.44578313253
"CLEWSity","AGRPST001","LND001",2021,3658.17469879518
"CLEWSity","AGRPST001","LND001",2022,3729.90361445783
"CLEWSity","AGRPST001","LND001",2023,3801.63253012048
"CLEWSity","AGRPST001","LND001",2024,3873.36144578313
"CLEWSity","AGRPST001","LND001",2025,3969
"CLEWSity","AGRPST001","LND001",2026,4040.72891566265
"CLEWSity","AGRPST001","LND001",2027,4112.4578313253
"CLEWSity","AGRPST001","LND001",2028,4208.09638554217
"CLEWSity","AGRPST001","LND001",2029,4279.82530120482
"CLEWSity","AGRPST001","LND001",2030,4375.46385542169
"CLEWSity","AGRPST001","LND001",2031,4471.10240963855
"CLEWSity","AGRPST001","LND001",2032,4542.8313253012
"CLEWSity","AGRPST001","LND001",2033,4638.46987951807
"CLEWSity","AGRPST001","LND001",2034,4734.10843373494
"CLEWSity","AGRPST001","LND001",2035,4829.74698795181
"CLEWSity","AGRPST001","LND001",2036,4925.38554216867
"CLEWSity","AGRPST001","LND001",2037,5021.02409638554
"CLEWSity","AGRPST001","LND001",2038,5116.66265060241
"CLEWSity","AGRPST001","LND001",2039,5236.21084337349
"CLEWSity","AGRPST001","LND001",2040,5331.84939759036
"CLEWSity","AGRPST001","LND001",2041,5427.48795180723
"CLEWSity","AGRPST001","LND001",2042,5547.03614457831
"CLEWSity","AGRPST001","LND001",2043,5666.5843373494
"CLEWSity","AGRPST001","LND001",2044,5762.22289156626
"CLEWSity","AGRPST001","LND001",2045,5881.77108433735
"CLEWSity","AGRPST001","LND001",2046,6001.31927710843
"CLEWSity","AGRPST001","LND001",2047,6120.86746987952
"CLEWSity","AGRPST001","LND001",2048,6240.4156626506
"CLEWSity","AGRPST001","LND001",2049,6359.96385542169
"CLEWSity","AGRPST001","LND001",2050,6503.42168674699
"CLEWSity","AGRPST001","LND001",2051,6622.96987951807
"CLEWSity","AGRPST001","LND001",2052,6766.42771084337
"CLEWSity","AGRPST001","LND001",2053,6885.97590361446
"CLEWSity","AGRPST001","LND001",2054,7029.43373493976
"CLEWSity","AGRPST001","LND001",2055,7172.89156626506
"CLEWSity","AGRPST001","WATEVT",2020,37.5142228915663
"CLEWSity","AGRPST001","WATEVT",2021,38.2645073493976
"CLEWSity","AGRPST001","WATEVT",2022,39.0147918072289
"CLEWSity","AGRPST001","WATEVT",2023,39.7650762650602
"CLEWSity","AGRPST001","WATEVT",2024,40.5153607228916
"CLEWSity","AGRPST001","WATEVT",2025,41.51574
"CLEWSity","AGRPST001","WATEVT",2026,42.2660244578313
"CLEWSity","AGRPST001","WATEVT",2027,43.0163089156626
"CLEWSity","AGRPST001","WATEVT",2028,44.0166881927711
"CLEWSity","AGRPST001","WATEVT",2029,44.7669726506024
"CLEWSity","AGRPST001","WATEVT",2030,45.7673519277108
"CLEWSity","AGRPST001","WATEVT",2031,46.7677312048193
"CLEWSity","AGRPST001","WATEVT",2032,47.5180156626506
"CLEWSity","AGRPST001","WATEVT",2033,48.518394939759
"CLEWSity","AGRPST001","WATEVT",2034,49.5187742168675
"CLEWSity","AGRPST001","WATEVT",2035,50.5191534939759
"CLEWSity","AGRPST001","WATEVT",2036,51.5195327710843
"CLEWSity","AGRPST001","WATEVT",2037,52.5199120481928
"CLEWSity","AGRPST001","WATEVT",2038,53.5202913253012
"CLEWSity","AGRPST001","WATEVT",2039,54.7707654216867
"CLEWSity","AGRPST001","WATEVT",2040,55.7711446987952
"CLEWSity","AGRPST001","WATEVT",2041,56.7715239759036
"CLEWSity","AGRPST001","WATEVT",2042,58.0219980722891
"CLEWSity","AGRPST001","WATEVT",2043,59.2724721686747
"CLEWSity","AGRPST001","WATEVT",2044,60.2728514457831
"CLEWSity","AGRPST001","WATEVT",2045,61.5233255421687
"CLEWSity","AGRPST001","WATEVT",2046,62.7737996385542
"CLEWSity","AGRPST001","WATEVT",2047,64.0242737349398
"CLEWSity","AGRPST001","WATEVT",2048,65.2747478313253
"CLEWSity","AGRPST001","WATEVT",2049,66.5252219277109
"CLEWSity","AGRPST001","WATEVT",2050,68.0257908433735
"CLEWSity","AGRPST001","WATEVT",2051,69.276264939759
"CLEWSity","AGRPST001","WATEVT",2052,70.7768338554217
"CLEWSity","AGRPST001","WATEVT",2053,72.0273079518072
"CLEWSity","AGRPST001","WATEVT",2054,73.5278768674699
"CLEWSity","AGRPST001","WATEVT",2055,75.0284457831325
"CLEWSity","AGRPST001","WATGRD",2020,2.22359638554217
"CLEWSity","AGRPST001","WATGRD",2021,2.26806831325301
"CLEWSity","AGRPST001","WATGRD",2022,2.31254024096386
"CLEWSity","AGRPST001","WATGRD",2023,2.3570121686747
"CLEWSity","AGRPST001","WATGRD",2024,2.40148409638554
"CLEWSity","AGRPST001","WATGRD",2025,2.46078
"CLEWSity","AGRPST001","WATGRD",2026,2.50525192771084
"CLEWSity","AGRPST001","WATGRD",2027,2.54972385542169
"CLEWSity","AGRPST001","WATGRD",2028,2.60901975903614
"CLEWSity","AGRPST001","WATGRD",2029,2.65349168674699
"CLEWSity","AGRPST001","WATGRD",2030,2.71278759036145
"CLEWSity","AGRPST001","WATGRD",2031,2.7720834939759
"CLEWSity","AGRPST001","WATGRD",2032,2.81655542168675
"CLEWSity","AGRPST001","WATGRD",2033,2.8758513253012
"CLEWSity","AGRPST001","WATGRD",2034,2.93514722891566
"CLEWSity","AGRPST001","WATGRD",2035,2.99444313253012
"CLEWSity","AGRPST001","WATGRD",2036,3.05373903614458
"CLEWSity","AGRPST001","WATGRD",2037,3.11303493975904
"CLEWSity","AGRPST001","WATGRD",2038,3.17233084337349
"CLEWSity","AGRPST001","WATGRD",2039,3.24645072289157
"CLEWSity","AGRPST001","WATGRD",2040,3.30574662650602
"CLEWSity","AGRPST001","WATGRD",2041,3.36504253012048
"CLEWSity","AGRPST001","WATGRD",2042,3.43916240963855
"CLEWSity","AGRPST001","WATGRD",2043,3.51328228915663
"CLEWSity","AGRPST001","WATGRD",2044,3.57257819277108
"CLEWSity","AGRPST001","WATGRD",2045,3.64669807228916
"CLEWSity","AGRPST001","WATGRD",2046,3.72081795180723
"CLEWSity","AGRPST001","WATGRD",2047,3.7949378313253
"CLEWSity","AGRPST001","WATGRD",2048,3.86905771084337
"CLEWSity","AGRPST001","WATGRD",2049,3.94317759036145
"CLEWSity","AGRPST001","WATGRD",2050,4.03212144578313
"CLEWSity","AGRPST001","WATGRD",2051,4.1062413253012
"CLEWSity","AGRPST001","WATGRD",2052,4.19518518072289
"CLEWSity","AGRPST001","WATGRD",2053,4.26930506024096
"CLEWSity","AGRPST001","WATGRD",2054,4.35824891566265
"CLEWSity","AGRPST001","WATGRD",2055,4.44719277108434
"CLEWSity","AGRPST001","WATSUR",2020,41.8538222891566
"CLEWSity","AGRPST001","WATSUR",2021,42.6908987349398
"CLEWSity","AGRPST001","WATSUR",2022,43.5279751807229
"CLEWSity","AGRPST001","WATSUR",2023,44.365051626506
"CLEWSity","AGRPST001","WATSUR",2024,45.2021280722892
"CLEWSity","AGRPST001","WATSUR",2025,46.31823
"CLEWSity","AGRPST001","WATSUR",2026,47.1553064457831
"CLEWSity","AGRPST001","WATSUR",2027,47.9923828915663
"CLEWSity","AGRPST001","WATSUR",2028,49.1084848192771
"CLEWSity","AGRPST001","WATSUR",2029,49.9455612650602
"CLEWSity","AGRPST001","WATSUR",2030,51.0616631927711
"CLEWSity","AGRPST001","WATSUR",2031,52.1777651204819
"CLEWSity","AGRPST001","WATSUR",2032,53.0148415662651
"CLEWSity","AGRPST001","WATSUR",2033,54.1309434939759
"CLEWSity","AGRPST001","WATSUR",2034,55.2470454216867
"CLEWSity","AGRPST001","WATSUR",2035,56.3631473493976
"CLEWSity","AGRPST001","WATSUR",2036,57.4792492771084
"CLEWSity","AGRPST001","WATSUR",2037,58.5953512048193
"CLEWSity","AGRPST001","WATSUR",2038,59.7114531325301
"CLEWSity","AGRPST001","WATSUR",2039,61.1065805421687
"CLEWSity","AGRPST001","WATSUR",2040,62.2226824698795
"CLEWSity","AGRPST001","WATSUR",2041,63.3387843975904
"CLEWSity","AGRPST001","WATSUR",2042,64.7339118072289
"CLEWSity","AGRPST001","WATSUR",2043,66.1290392168675
"CLEWSity","AGRPST001","WATSUR",2044,67.2451411445783
"CLEWSity","AGRPST001","WATSUR",2045,68.6402685542168
"CLEWSity","AGRPST001","WATSUR",2046,70.0353959638554
"CLEWSity","AGRPST001","WATSUR",2047,71.430523373494
"CLEWSity","AGRPST001","WATSUR",2048,72.8256507831325
"CLEWSity","AGRPST001","WATSUR",2049,74.2207781927711
"CLEWSity","AGRPST001","WATSUR",2050,75.8949310843373
"CLEWSity","AGRPST001","WATSUR",2051,77.2900584939759
"CLEWSity","AGRPST001","WATSUR",2052,78.9642113855422
"CLEWSity","AGRPST001","WATSUR",2053,80.3593387951807
"CLEWSity","AGRPST001","WATSUR",2054,82.033491686747
"CLEWSity","AGRPST001","WATSUR",2055,83.7076445783132
"CLEWSity","FORWOO001","WOO",2020,9.041
"CLEWSity","FORWOO001","WOO",2021,9.103
"CLEWSity","FORWOO001","WOO",2022,9.167
"CLEWSity","FORWOO001","WOO",2023,9.233
"CLEWSity","FORWOO001","WOO",2024,9.302
"CLEWSity","FORWOO001","WOO",2025,9.374
"CLEWSity","FORWOO001","WOO",2026,9.448
"CLEWSity","FORWOO001","WOO",2027,9.525
"CLEWSity","FORWOO001","WOO",2028,9.605
"CLEWSity","FORWOO001","WOO",2029,9.688
"CLEWSity","FORWOO001","WOO",2030,9.773
"CLEWSity","FORWOO001","WOO",2031,9.862
"CLEWSity","FORWOO001","WOO",2032,9.953
"CLEWSity","FORWOO001","WOO",2033,10.048
"CLEWSity","FORWOO001","WOO",2034,10.145
"CLEWSity","FORWOO001","WOO",2035,10.246
"CLEWSity","FORWOO001","WOO",2036,10.35
"CLEWSity","FORWOO001","WOO",2037,10.458
"CLEWSity","FORWOO001","WOO",2038,10.568
"CLEWSity","FORWOO001","WOO",2039,10.683
"CLEWSity","FORWOO001","WOO",2040,10.8
"CLEWSity","FORWOO001","WOO",2041,10.922
"CLEWSity","FORWOO001","WOO",2042,11.047
"CLEWSity","FORWOO001","WOO",2043,11.175
"CLEWSity","FORWOO001","WOO",2044,11.308
"CLEWSity","FORWOO001","WOO",2045,11.444
"CLEWSity","FORWOO001","WOO",2046,11.584
"CLEWSity","FORWOO001","WOO",2047,11.729
"CLEWSity","FORWOO001","WOO",2048,11.877
"CLEWSity","FORWOO001","WOO",2049,12.03
"CLEWSity","FORWOO001","WOO",2050,12.187
"CLEWSity","FORWOO001","WOO",2051,12.288
"CLEWSity","FORWOO001","WOO",2052,12.389
"CLEWSity","FORWOO001","WOO",2053,12.489
"CLEWSity","FORWOO001","WOO",2054,12.588
"CLEWSity","FORWOO001","WOO",2055,12.685
"CLEWSity","IMPDSL001","DSL",2020,6.25679691064048
"CLEWSity","IMPDSL001","DSL",2021,8.87328779666573
"CLEWSity","IMPDSL001","DSL",2022,13.1279632882363
"CLEWSity","IMPDSL001","DSL",2023,17.2125634921466
"CLEWSity","IMPDSL001","DSL",2024,20.1061878275009
"CLEWSity","IMPDSL001","DSL",2025,24.2198629152965
"CLEWSity","IMPDSL001","DSL",2026,19.2664349364103
"CLEWSity","IMPDSL001","DSL",2027,17.8017065080942
"CLEWSity","IMPDSL001","DSL",2028,21.7690303833104
"CLEWSity","IMPDSL001","DSL",2029,23.0170924439124
"CLEWSity","IMPDSL001","DSL",2030,28.0623618858169
"CLEWSity","IMPDSL001","DSL",2031,24.6941532593392
"CLEWSity","IMPDSL001","DSL",2032,21.3227834692387
"CLEWSity","IMPDSL001","DSL",2033,17.9555350813639
"CLEWSity","IMPDSL001","DSL",2034,16.3858467234803
"CLEWSity","IMPDSL001","DSL",2035,15.757278010686
"CLEWSity","IMPDSL001","DSL",2036,13.2422226254688
"CLEWSity","IMPDSL001","DSL",2037,11.1995210444583
"CLEWSity","IMPDSL001","DSL",2038,9.19139592513712
"CLEWSity","IMPDSL001","DSL",2039,8.56731397625999
"CLEWSity","IMPDSL001","DSL",2040,27.3712304637556
"CLEWSity","IMPDSL001","DSL",2041,26.6085636168774
"CLEWSity","IMPDSL001","DSL",2042,25.8490377343281
"CLEWSity","IMPDSL001","DSL",2043,26.4378450451006
"CLEWSity","IMPDSL001","DSL",2044,28.5845942479543
"CLEWSity","IMPDSL001","DSL",2045,32.1252023274418
"CLEWSity","IMPDSL001","DSL",2046,56.4220860382143
"CLEWSity","IMPDSL001","DSL",2047,60.7795238081797
"CLEWSity","IMPDSL001","DSL",2048,66.4860083841638
