REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRPST001",2020,936.207
"CLEWSity","AGRPST001",2021,954.783596385542
"CLEWSity","AGRPST001",2022,973.504843373494
"CLEWSity","AGRPST001",2023,992.226090361445
"CLEWSity","AGRPST001",2024,1010.9473373494
"CLEWSity","AGRPST001",2025,1035.909
"CLEWSity","AGRPST001",2026,1054.63024698795
"CLEWSity","AGRPST001",2027,1073.3514939759
"CLEWSity","AGRPST001",2028,1098.31315662651
"CLEWSity","AGRPST001",2029,1117.03440361446
"CLEWSity","AGRPST001",2030,1141.99606626506
"CLEWSity","AGRPST001",2031,1166.95772891566
"CLEWSity","AGRPST001",2032,1185.67897590361
"CLEWSity","AGRPST001",2033,1210.64063855422
"CLEWSity","AGRPST001",2034,1235.60230120482
"CLEWSity","AGRPST001",2035,1243.46155255209
"CLEWSity","AGRPST001",2036,1218.77411292534
"CLEWSity","AGRPST001",2037,1195.15166111342
"CLEWSity","AGRPST001",2038,1172.61102072954
"CLEWSity","AGRPST001",2039,1136.43407372812
"CLEWSity","AGRPST001",2040,1104.42911762134
"CLEWSity","AGRPST001",2041,1077.3223395731
"CLEWSity","AGRPST001",2042,1044.05191056808
"CLEWSity","AGRPST001",2043,1010.66552509718
"CLEWSity","AGRPST001",2044,983.774915366439
"CLEWSity","AGRPST001",2045,952.937438708567
"CLEWSity","AGRPST001",2046,911.429214472347
"CLEWSity","AGRPST001",2047,877.553464441447
"CLEWSity","AGRPST001",2048,843.226518490547
"CLEWSity","AGRPST001",2049,809.162712125529
"CLEWSity","AGRPST001",2050,768.820979791978
"CLEWSity","AGRPST001",2051,734.081384857548
"CLEWSity","AGRPST001",2052,693.062182500469
"CLEWSity","AGRPST001",2053,658.206568460157
"CLEWSity","AGRPST001",2054,617.226620503077
"CLEWSity","AGRPST001",2055,576.130590800114
"CLEWSity","AGRPST002",2035,22.8359783111587
"CLEWSity","AGRPST002",2036,89.129894570378
"CLEWSity","AGRPST002",2037,154.001786869953
"CLEWSity","AGRPST002",2038,217.429191496456
"CLEWSity","AGRPST002",2039,307.396970508578
"CLEWSity","AGRPST002",2040,383.461593638637
"CLEWSity","AGRPST002",2041,452.985929207793
"CLEWSity","AGRPST002",2042,539.07278284924
"CLEWSity","AGRPST002",2043,625.314467250684
"CLEWSity","AGRPST002",2044,694.550164280943
"CLEWSity","AGRPST002",2045,777.388420631277
"CLEWSity","AGRPST002",2046,874.474782464577
"CLEWSity","AGRPST002",2047,961.369890426023
"CLEWSity","AGRPST002",2048,1048.86745730747
"CLEWSity","AGRPST002",2049,1136.01366730891
"CLEWSity","AGRPST002",2050,1239.87498098265
"CLEWSity","AGRPST002",2051,1327.9235370241
"CLEWSity","AGRPST002",2052,1432.68944189783
"CLEWSity","AGRPST002",2053,1520.89291233928
"CLEWSity","AGRPST002",2054,1625.60640281301
"CLEWSity","AGRPST002",2055,1730.47489132674
"CLEWSity","LNDCRP001I",2020,15.54
