REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRCRP001",2020,223.882352941176
"CLEWSity","AGRCRP001",2021,228.793696964322
"CLEWSity","AGRCRP001",2022,245.879302357214
"CLEWSity","AGRCRP001",2023,246.202546135494
"CLEWSity","AGRCRP001",2024,260.455306282554
"CLEWSity","AGRCRP001",2025,259.299917164907
"CLEWSity","AGRCRP001",2026,273.266089409799
"CLEWSity","AGRCRP001",2027,276.334452164907
"CLEWSity","AGRCRP001",2028,270.774852164907
"CLEWSity","AGRCRP001",2029,270.935142056859
"CLEWSity","AGRCRP001",2030,259.651252164906
"CLEWSity","AGRCRP001",2031,278.503190335979
"CLEWSity","AGRCRP001",2032,244.482104472599
"CLEWSity","AGRCRP001",2033,241.781132119658
"CLEWSity","AGRCRP001",2034,260.265341531423
"CLEWSity","AGRCRP001",2035,274.378694941812
"CLEWSity","AGRCRP001",2036,291.208321506901
"CLEWSity","AGRCRP001",2037,268.063495525774
"CLEWSity","AGRCRP001",2038,197.745479473004
"CLEWSity","AGRCRP001",2039,241.324995566851
"CLEWSity","AGRCRP001",2040,222.04429573398
"CLEWSity","AGRCRP001",2041,223.895480796767
"CLEWSity","AGRCRP001",2042,270.976264449461
"CLEWSity","AGRCRP001",2043,300.042158567108
"CLEWSity","AGRCRP001",2044,321.162072418604
"CLEWSity","AGRCRP001",2045,275.599523266137
"CLEWSity","AGRCRP001",2046,373.19596634544
"CLEWSity","AGRCRP001",2047,436.876594561762
"CLEWSity","AGRCRP001",2048,442.456598811797
"CLEWSity","AGRCRP001",2049,441.700319939572
"CLEWSity","AGRCRP001",2050,403.835893631165
"CLEWSity","AGRCRP001",2051,436.983198690938
"CLEWSity","AGRCRP001",2052,484.721334634367
"CLEWSity","AGRCRP001",2053,532.452472978016
"CLEWSity","AGRCRP001",2054,565.606775637569
"CLEWSity","AGRCRP001",2055,592.93408
"CLEWSity","AGRPST001",2021,310.174698795181
"CLEWSity","AGRPST001",2022,310.728915662651
"CLEWSity","AGRPST001",2023,311.72891566265
"CLEWSity","AGRPST001",2024,310.728915662652
"CLEWSity","AGRPST001",2025,334.638554216867
"CLEWSity","AGRPST001",2026,310.72891566265
"CLEWSity","AGRPST001",2027,310.728915662649
"CLEWSity","AGRPST001",2028,334.638554216868
"CLEWSity","AGRPST001",2029,310.72891566265
"CLEWSity","AGRPST001",2030,334.638554216867
"CLEWSity","AGRPST001",2031,335.638554216869
"CLEWSity","AGRPST001",2032,310.728915662649
"CLEWSity","AGRPST001",2033,334.638554216869
"CLEWSity","AGRPST001",2034,334.638554216868
"CLEWSity","AGRPST001",2035,269.112074127457
"CLEWSity","AGRPST001",2036,215.586807504963
"CLEWSity","AGRPST001",2037,220.221437456062
"CLEWSity","AGRPST001",2038,225.366308827858
"CLEWSity","AGRPST001",2039,172.119923320044
"CLEWSity","AGRPST001",2040,212.014201317352
"CLEWSity","AGRPST001",2041,206.871528504607
"CLEWSity","AGRPST001",2042,183.256007597445
"CLEWSity","AGRPST001",2043,206.72136850461
"CLEWSity","AGRPST001",2044,207.699759606178
"CLEWSity","AGRPST001",2045,216.48730265414
"CLEWSity","AGRPST001",2046,176.603212315643
"CLEWSity","AGRPST001",2047,180.936769950388
"CLEWSity","AGRPST001",2048,203.117688504608
"CLEWSity","AGRPST001",2049,204.125886151666
"CLEWSity","AGRPST001",2050,114.546049860979
"CLEWSity","AGRPST001",2051,82.4849112044652
"CLEWSity","AGRPST001",2052,63.059742601352
"CLEWSity","AGRPST001",2053,91.8198948803027
"CLEWSity","AGRPST001",2054,15.1086284653305
"CLEWSity","AGRPST001",2055,54.5581488155812
"CLEWSity","AGRPST002",2035,32.7632400447041
"CLEWSity","AGRPST002",2036,127.876462798247
"CLEWSity","AGRPST002",2037,220.949479009975
"CLEWSity","AGRPST002",2038,311.950059535805
"CLEWSity","AGRPST002",2039,441.028652092651
"CLEWSity","AGRPST002",2040,550.160105650842
"CLEWSity","AGRPST002",2041,649.908076338297
"CLEWSity","AGRPST002",2042,773.418626756441
"CLEWSity","AGRPST002",2043,897.151315998112
"CLEWSity","AGRPST002",2044,996.485171134782
"CLEWSity","AGRPST002",2045,1115.33489330169
"CLEWSity","AGRPST002",2046,1254.62666063784
"CLEWSity","AGRPST002",2047,1379.29682987952
"CLEWSity","AGRPST002",2048,1504.83135912119
"CLEWSity","AGRPST002",2049,1629.86178953933
"CLEWSity","AGRPST002",2050,1778.87371733522
"CLEWSity","AGRPST002",2051,1905.19876187101
"CLEWSity","AGRPST002",2052,2055.50852496102
"CLEWSity","AGRPST002",2053,2182.05582832034
"CLEWSity","AGRPST002",2054,2332.29039141034
"CLEWSity","AGRPST002",2055,2482.74733332388
"CLEWSity","FORWOO001",2020,9.041
"CLEWSity","FORWOO001",2021,9.222
"CLEWSity","FORWOO001",2022,9.407
"CLEWSity","FORWOO001",2023,9.595
"CLEWSity","FORWOO001",2024,9.787
"CLEWSity","FORWOO001",2025,9.982
"CLEWSity","FORWOO001",2026,10.182
"CLEWSity","FORWOO001",2027,10.386
"CLEWSity","FORWOO001",2028,10.593
"CLEWSity","FORWOO001",2029,10.805
"CLEWSity","FORWOO001",2030,11.021
"CLEWSity","FORWOO001",2031,11.242
"CLEWSity","FORWOO001",2032,11.467
"CLEWSity","FORWOO001",2033,11.696
"CLEWSity","FORWOO001",2034,11.93
"CLEWSity","FORWOO001",2035,12.168
"CLEWSity","FORWOO001",2036,12.412
"CLEWSity","FORWOO001",2037,12.66
"CLEWSity","FORWOO001",2038,12.913
"CLEWSity","FORWOO001",2039,13.172
"CLEWSity","FORWOO001",2040,13.435
"CLEWSity","FORWOO001",2041,13.704
"CLEWSity","FORWOO001",2042,13.978
"CLEWSity","FORWOO001",2043,14.257
"CLEWSity","FORWOO001",2044,14.542
"CLEWSity","FORWOO001",2045,14.833
"CLEWSity","FORWOO001",2046,20.1733333333333
"CLEWSity","FORWOO001",2047,20.5773333333333
"CLEWSity","FORWOO001",2048,20.988
"CLEWSity","FORWOO001",2049,21.408
"CLEWSity","FORWOO001",2050,21.836
"CLEWSity","FORWOO001",2051,22.2733333333333
"CLEWSity","FORWOO001",2052,22.7186666666667
"CLEWSity","FORWOO001",2053,23.1733333333333
"CLEWSity","FORWOO001",2054,23.636
"CLEWSity","FORWOO001",2055,24.1093333333333
"CLEWSity","IMPDSL001",2020,16.389109229335
"CLEWSity","IMPDSL001",2021,31.3782963040408
"CLEWSity","IMPDSL001",2022,49.8043638796985
"CLEWSity","IMPDSL001",2023,66.2045864410671
"CLEWSity","IMPDSL001",2024,83.0776443579231
"CLEWSity","IMPDSL001",2025,87.676153569105
"CLEWSity","IMPDSL001",2026,57.8970037517679
"CLEWSity","IMPDSL001",2027,45.5559151080675
"CLEWSity","IMPDSL001",2028,55.9837503221863
"CLEWSity","IMPDSL001",2029,55.1527549395998
"CLEWSity","IMPDSL001",2030,79.7047609817486
"CLEWSity","IMPDSL001",2031,59.3736016576563
"CLEWSity","IMPDSL001",2032,41.3715673262845
"CLEWSity","IMPDSL001",2033,20.0849070108961
"CLEWSity","IMPDSL001",2034,5.61073575781939
"CLEWSity","IMPDSL001",2035,5.29952913318926
"CLEWSity","IMPDSL001",2036,5.69852734043884
"CLEWSity","IMPDSL001",2037,5.32553986757972
"CLEWSity","IMPDSL001",2038,4.1395453593885
"CLEWSity","IMPDSL001",2039,4.87311991038285
"CLEWSity","IMPDSL001",2040,23.0094763465068
"CLEWSity","IMPDSL001",2041,12.2124510078578
"CLEWSity","IMPDSL001",2042,5.24722665730497
"CLEWSity","IMPDSL001",2043,5.89136643377556
"CLEWSity","IMPDSL001",2044,6.37753851556554
"CLEWSity","IMPDSL001",2045,5.61473988585596
"CLEWSity","IMPDSL001",2046,7.17448329325425
"CLEWSity","IMPDSL001",2047,8.511776485797
"CLEWSity","IMPDSL001",2048,8.60014457504774
"CLEWSity","IMPDSL001",2049,8.56985871873101
