REGION,TIMESLICE,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","SD","AGRCRP001","LNDCRP",2020,188.859564956661
"CLEWSity","SD","AGRCRP001","LNDCRP",2021,182.813986892618
"CLEWSity","SD","AGRCRP001","LNDCRP",2022,173.699064567223
"CLEWSity","SD","AGRCRP001","LNDCRP",2023,179.228462191642
"CLEWSity","SD","AGRCRP001","LNDCRP",2024,183.3724105764
"CLEWSity","SD","AGRCRP001","LNDCRP",2025,173.307884731041
"CLEWSity","SD","AGRCRP001","LNDCRP",2026,172.570795983742
"CLEWSity","SD","AGRCRP001","LNDCRP",2027,145.61504657103
"CLEWSity","SD","AGRCRP001","LNDCRP",2028,164.102109491793
"CLEWSity","SD","AGRCRP001","LNDCRP",2029,173.849333296467
"CLEWSity","SD","AGRCRP001","LNDCRP",2030,178.642326789861
"CLEWSity","SD","AGRCRP001","LNDCRP",2031,174.576554639329
"CLEWSity","SD","AGRCRP001","LNDCRP",2032,186.587995417314
"CLEWSity","SD","AGRCRP001","LNDCRP",2033,188.455743456529
"CLEWSity","SD","AGRCRP001","LNDCRP",2034,183.161876789863
"CLEWSity","SD","AGRCRP001","LNDCRP",2035,190.581195318886
"CLEWSity","SD","AGRCRP001","LNDCRP",2036,198.193629199208
"CLEWSity","SD","AGRCRP001","LNDCRP",2037,192.115110910389
"CLEWSity","SD","AGRCRP001","LNDCRP",2038,194.46805208686
"CLEWSity","SD","AGRCRP001","LNDCRP",2039,192.648746436588
"CLEWSity","SD","AGRCRP001","LNDCRP",2040,217.066178835983
"CLEWSity","SD","AGRCRP001","LNDCRP",2041,223.895480796767
"CLEWSity","SD","AGRCRP001","LNDCRP",2042,211.517888087685
"CLEWSity","SD","AGRCRP001","LNDCRP",2043,207.408585342587
"CLEWSity","SD","AGRCRP001","LNDCRP",2044,229.445821112317
"CLEWSity","SD","AGRCRP001","LNDCRP",2045,232.386997582905
"CLEWSity","SD","AGRCRP001","LNDCRP",2046,251.933810153049
"CLEWSity","SD","AGRCRP001","LNDCRP",2047,158.773123927893
"CLEWSity","SD","AGRCRP001","LNDCRP",2048,226.609507965945
"CLEWSity","SD","AGRCRP001","LNDCRP",2049,171.180452516853
"CLEWSity","SD","AGRCRP001","LNDCRP",2050,191.56862745098
"CLEWSity","SD","AGRCRP001","LNDCRP",2051,299.383311112983
"CLEWSity","SD","AGRCRP001","LNDCRP",2052,200.980392156863
"CLEWSity","SD","AGRCRP001","LNDCRP",2053,205.882352941177
"CLEWSity","SD","AGRCRP001","LNDCRP",2054,210.588235294118
"CLEWSity","SD","AGRCRP001","LNDCRP",2055,215.490196078431
"CLEWSity","SD","AGRPST001","CTL",2020,4763.536
"CLEWSity","SD","AGRPST001","CTL",2021,4858.056
"CLEWSity","SD","AGRPST001","CTL",2022,4953.312
"CLEWSity","SD","AGRPST001","CTL",2023,5048.568
"CLEWSity","SD","AGRPST001","CTL",2024,5143.824
"CLEWSity","SD","AGRPST001","CTL",2025,5270.832
"CLEWSity","SD","AGRPST001","CTL",2026,5366.088
"CLEWSity","SD","AGRPST001","CTL",2027,5461.344
"CLEWSity","SD","AGRPST001","CTL",2028,5588.352
"CLEWSity","SD","AGRPST001","CTL",2029,5683.608
"CLEWSity","SD","AGRPST001","CTL",2030,5810.616
"CLEWSity","SD","AGRPST001","CTL",2031,5937.624
"CLEWSity","SD","AGRPST001","CTL",2032,6032.88
"CLEWSity","SD","AGRPST001","CTL",2033,6159.888
"CLEWSity","SD","AGRPST001","CTL",2034,6286.896
"CLEWSity","SD","AGRPST001","CTL",2035,6326.88483444126
"CLEWSity","SD","AGRPST001","CTL",2036,6201.27211480786
"CLEWSity","SD","AGRPST001","CTL",2037,6081.07818374951
"CLEWSity","SD","AGRPST001","CTL",2038,5966.3886418729
"CLEWSity","SD","AGRPST001","CTL",2039,5782.31590004192
"CLEWSity","SD","AGRPST001","CTL",2040,5619.47075939136
"CLEWSity","SD","AGRPST001","CTL",2041,5481.54814924548
"CLEWSity","SD","AGRPST001","CTL",2042,5312.26412733489
"CLEWSity","SD","AGRPST001","CTL",2043,5142.39010470901
"CLEWSity","SD","AGRPST001","CTL",2044,5005.56738546602
"CLEWSity","SD","AGRPST001","CTL",2045,4848.66252339071
"CLEWSity","SD","AGRPST001","CTL",2046,4637.46358934589
"CLEWSity","SD","AGRPST001","CTL",2047,4465.09961984
"CLEWSity","SD","AGRPST001","CTL",2048,4290.43991017412
"CLEWSity","SD","AGRPST001","CTL",2049,4117.11908698353
"CLEWSity","SD","AGRPST001","CTL",2050,3911.85540675765
"CLEWSity","SD","AGRPST001","CTL",2051,3735.09608847059
"CLEWSity","SD","AGRPST001","CTL",2052,3526.38535770354
"CLEWSity","SD","AGRPST001","CTL",2053,3349.03571998118
