REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRCRP001",2020,205.816742081448
"CLEWSity","AGRCRP001",2021,205.803841928469
"CLEWSity","AGRCRP001",2022,209.789183462213
"CLEWSity","AGRCRP001",2023,212.715504163571
"CLEWSity","AGRCRP001",2024,202.643134502938
"CLEWSity","AGRCRP001",2025,194.805892839506
"CLEWSity","AGRCRP001",2026,195.579785486564
"CLEWSity","AGRCRP001",2027,196.425536957153
"CLEWSity","AGRCRP001",2028,197.199834015977
"CLEWSity","AGRCRP001",2029,198.120785486565
"CLEWSity","AGRCRP001",2030,198.894558133623
"CLEWSity","AGRCRP001",2031,200.558213563491
"CLEWSity","AGRCRP001",2032,201.061522681135
"CLEWSity","AGRCRP001",2033,201.787090622312
"CLEWSity","AGRCRP001",2034,202.437742975253
"CLEWSity","AGRCRP001",2035,203.0162520929
"CLEWSity","AGRCRP001",2036,202.490920629575
"CLEWSity","AGRCRP001",2037,199.925382624434
"CLEWSity","AGRCRP001",2038,195.287408933396
"CLEWSity","AGRCRP001",2039,204.817808719158
"CLEWSity","AGRCRP001",2040,218.310708060482
"CLEWSity","AGRCRP001",2041,222.42012453107
"CLEWSity","AGRCRP001",2042,226.382482178129
"CLEWSity","AGRCRP001",2043,230.566978648717
"CLEWSity","AGRCRP001",2044,234.26227956852
"CLEWSity","AGRCRP001",2045,233.563808964341
"CLEWSity","AGRCRP001",2046,253.307383529412
"CLEWSity","AGRCRP001",2047,258.42936
"CLEWSity","AGRCRP001",2048,264.415696470588
"CLEWSity","AGRCRP001",2049,269.897934117647
"CLEWSity","AGRCRP001",2050,275.452030588235
"CLEWSity","AGRCRP001",2051,282.228882352941
"CLEWSity","AGRCRP001",2052,289.080814117647
"CLEWSity","AGRCRP001",2053,296.079924705882
"CLEWSity","AGRCRP001",2054,302.856656470588
"CLEWSity","AGRCRP001",2055,309.855767058823
"CLEWSity","AGRPST001",2020,3586.44578313253
"CLEWSity","AGRPST001",2021,3658.17469879518
"CLEWSity","AGRPST001",2022,3729.90361445783
"CLEWSity","AGRPST001",2023,3801.63253012048
"CLEWSity","AGRPST001",2024,3873.36144578313
"CLEWSity","AGRPST001",2025,3969
"CLEWSity","AGRPST001",2026,4040.72891566265
"CLEWSity","AGRPST001",2027,4112.4578313253
"CLEWSity","AGRPST001",2028,4208.09638554217
"CLEWSity","AGRPST001",2029,4279.82530120482
"CLEWSity","AGRPST001",2030,4375.46385542169
"CLEWSity","AGRPST001",2031,4471.10240963855
"CLEWSity","AGRPST001",2032,4542.8313253012
"CLEWSity","AGRPST001",2033,4638.46987951807
"CLEWSity","AGRPST001",2034,4734.10843373494
"CLEWSity","AGRPST001",2035,4764.2205078624
"CLEWSity","AGRPST001",2036,4669.63261657218
"CLEWSity","AGRPST001",2037,4579.12513836559
"CLEWSity","AGRPST001",2038,4492.7625315308
