REGION,EMISSION,YEAR,VALUE
"CLEWSity","CH4",2020,0.276773191746159
"CLEWSity","CH4",2021,0.282331229331422
"CLEWSity","CH4",2022,0.287908650565711
"CLEWSity","CH4",2023,0.29345371426072
"CLEWSity","CH4",2024,0.299050573348535
"CLEWSity","CH4",2025,0.306529811631508
"CLEWSity","CH4",2026,0.312049084393934
"CLEWSity","CH4",2027,0.31767116422894
"CLEWSity","CH4",2028,0.325054921819305
"CLEWSity","CH4",2029,0.330584276224862
"CLEWSity","CH4",2030,0.337971514659454
"CLEWSity","CH4",2031,0.345330585919004
"CLEWSity","CH4",2032,0.350853958473192
"CLEWSity","CH4",2033,0.358213468364462
"CLEWSity","CH4",2034,0.365579004863113
"CLEWSity","CH4",2035,0.372944309417812
"CLEWSity","CH4",2036,0.380296371622086
"CLEWSity","CH4",2037,0.387633052796602
"CLEWSity","CH4",2038,0.394994858822516
"CLEWSity","CH4",2039,0.404148603219133
"CLEWSity","CH4",2040,0.411757883617706
"CLEWSity","CH4",2041,0.419129966804303
"CLEWSity","CH4",2042,0.428343334748095
"CLEWSity","CH4",2043,0.437551176274035
"CLEWSity","CH4",2044,0.445242951041461
"CLEWSity","CH4",2045,0.454695024139934
"CLEWSity","CH4",2046,0.464071261494731
"CLEWSity","CH4",2047,0.473484489172493
"CLEWSity","CH4",2048,0.482730863322643
"CLEWSity","CH4",2049,0.491978081969994
"CLEWSity","CH4",2050,0.503066182289283
"CLEWSity","CH4",2051,0.512321004477899
"CLEWSity","CH4",2052,0.523417969615124
"CLEWSity","CH4",2053,0.532673810487198
"CLEWSity","CH4",2054,0.543770381638023
"CLEWSity","CH4",2055,0.554873582384342
"CLEWSity","CO2",2020,-34.3850597714943
"CLEWSity","CO2",2021,-33.1270031188094
"CLEWSity","CO2",2022,-31.6789753976151
"CLEWSity","CO2",2023,-30.4513448281264
"CLEWSity","CO2",2024,-28.9729230042884
"CLEWSity","CO2",2025,-27.6058300913052
"CLEWSity","CO2",2026,-26.7266027834631
"CLEWSity","CO2",2027,-25.8938917249145
"CLEWSity","CO2",2028,-24.6790031965129
"CLEWSity","CO2",2029,-23.9587079906732
"CLEWSity","CO2",2030,-22.9009560974364
"CLEWSity","CO2",2031,-22.3405781298164
"CLEWSity","CO2",2032,-21.6052449862247
"CLEWSity","CO2",2033,-21.0403642652827
"CLEWSity","CO2",2034,-20.2900481338759
"CLEWSity","CO2",2035,-19.0860236153181
"CLEWSity","CO2",2036,-17.8759718251562
"CLEWSity","CO2",2037,-16.7243352120551
"CLEWSity","CO2",2038,-15.7336179304004
"CLEWSity","CO2",2039,-14.8575539828616
"CLEWSity","CO2",2040,-13.5311121448295
"CLEWSity","CO2",2041,-12.6074115167597
"CLEWSity","CO2",2042,-11.675576016085
"CLEWSity","CO2",2043,-10.4590847832429
"CLEWSity","CO2",2044,-8.52684628070987
"CLEWSity","CO2",2045,-7.00776279655352
"CLEWSity","CO2",2046,-5.91757560816394
"CLEWSity","CO2",2047,-5.21046626902501
"CLEWSity","CO2",2048,-5.05947535526029
"CLEWSity","CO2",2049,-4.90426743753383
"CLEWSity","CO2",2050,-4.75035407213162
"CLEWSity","CO2",2051,-4.56816042798897
"CLEWSity","CO2",2052,-4.38207760248383
"CLEWSity","CO2",2053,-4.19589477475296
"CLEWSity","CO2",2054,-4.0111172872478
"CLEWSity","CO2",2055,-3.68281600391516
"CLEWSity","CO2EQ",2020,-26.5496680230463
"CLEWSity","CO2EQ",2021,-25.133301761814
"CLEWSity","CO2EQ",2022,-23.5256715179336
"CLEWSity","CO2EQ",2023,-22.1404782116952
"CLEWSity","CO2EQ",2024,-20.5012076047956
"CLEWSity","CO2EQ",2025,-18.9192111762892
"CLEWSity","CO2EQ",2026,-17.8846700000039
"CLEWSity","CO2EQ",2027,-16.8897428893123
"CLEWSity","CO2EQ",2028,-15.4658485284216
"CLEWSity","CO2EQ",2029,-14.5890189414874
"CLEWSity","CO2EQ",2030,-13.3217232762599
"CLEWSity","CO2EQ",2031,-12.5542238981274
"CLEWSity","CO2EQ",2032,-11.6628905415907
"CLEWSity","CO2EQ",2033,-10.8907992481204
"CLEWSity","CO2EQ",2034,-9.93277787353873
"CLEWSity","CO2EQ",2035,-8.52087095456574
"CLEWSity","CO2EQ",2036,-7.10374039189939
"CLEWSity","CO2EQ",2037,-5.74597230280475
"CLEWSity","CO2EQ",2038,-4.54745367037554
"CLEWSity","CO2EQ",2039,-3.41510440176287
"CLEWSity","CO2EQ",2040,-1.86475174100507
"CLEWSity","CO2EQ",2041,-0.732620112283603
"CLEWSity","CO2EQ",2042,0.45925022026265
"CLEWSity","CO2EQ",2043,1.93556235481142
"CLEWSity","CO2EQ",2044,4.09675581245814
"CLEWSity","CO2EQ",2045,5.89129051530708
"CLEWSity","CO2EQ",2046,7.25217993596421
"CLEWSity","CO2EQ",2047,8.23236942936861
"CLEWSity","CO2EQ",2048,8.64590860731666
"CLEWSity","CO2EQ",2049,9.06376908805978
"CLEWSity","CO2EQ",2050,9.5319159296859
"CLEWSity","CO2EQ",2051,9.97733725552757
"CLEWSity","CO2EQ",2052,10.4783093849494
"CLEWSity","CO2EQ",2053,10.9278770820595
"CLEWSity","CO2EQ",2054,11.4276110954629
"CLEWSity","CO2EQ",2055,12.0714459072889
"CLEWSity","N2O",2020,8.45554301264119e-05
