REGION,TECHNOLOGY,VALUE
"CLEWSity","AGRCRP001",8575.82315260528
"CLEWSity","AGRPST001",186471.271084337
"CLEWSity","FORWOO001",470.1
"CLEWSity","IMPDSL001",346.110932572342
"CLEWSity","IMPGSL001",81.7577329095584
"CLEWSity","LNDAGR001",195047.094236943
"CLEWSity","LNDBLT001",32306
"CLEWSity","LNDCRP001I",2894.26459558824
"CLEWSity","LNDCRP001R",1914.815
"CLEWSity","LNDCRP002I",2366.19447989819
"CLEWSity","LNDCRP002R",1400.54907711886
"CLEWSity","LNDFOR001",138069
"CLEWSity","LNDOTH001",174577.905763057
"CLEWSity","MINGAS001",5691.80926517506
"CLEWSity","MINHYD001",2168.15408609226
"CLEWSity","MINLND001",540000
"CLEWSity","MINPRC001",12285
"CLEWSity","MINSOL001",372.974719311402
"CLEWSity","MINWND001",490.947930902705
"CLEWSity","PRCBAG001",970.467347671221
"CLEWSity","PRCCRP002",41.15
"CLEWSity","PRCCTL001",7.799
"CLEWSity","PWRBIO001",339.680555712713
"CLEWSity","PWRDSL001",68.1155405304358
"CLEWSity","PWRGAS001",2857.33396846138
"CLEWSity","PWRHYD001",2084.89904609226
"CLEWSity","PWRSOL001",372.974719311402
"CLEWSity","PWRTRN001",5674.28536910724
"CLEWSity","PWRWND001",324.25625831046
"CLEWSity","WATAGR001",48.8995727140285
"CLEWSity","WATELC001",1.72435367019146
"CLEWSity","WATGRD001",10.1673573949675
"CLEWSity","WATSUR001",1810.56244849408
"CLEWSity","WATTRN001",54.3675
