REGION,TECHNOLOGY,YEAR,VALUE
"CLEWSity","AGRCRP001",2020,223.882352941176
"CLEWSity","AGRCRP001",2021,228.946447606378
"CLEWSity","AGRCRP001",2022,237.498917037926
"CLEWSity","AGRCRP001",2023,242.450004407347
"CLEWSity","AGRCRP001",2024,269.075390465892
"CLEWSity","AGRCRP001",2025,291.727996083176
"CLEWSity","AGRCRP001",2026,287.592481053916
"CLEWSity","AGRCRP001",2027,308.762531083177
"CLEWSity","AGRCRP001",2028,304.568811234639
"CLEWSity","AGRCRP001",2029,302.914746366521
"CLEWSity","AGRCRP001",2030,292.079331083176
"CLEWSity","AGRCRP001",2031,314.615552802633
"CLEWSity","AGRCRP001",2032,280.961715698561
"CLEWSity","AGRCRP001",2033,291.928695454541
"CLEWSity","AGRCRP001",2034,310.412904866304
"CLEWSity","AGRCRP001",2035,323.53488165717
"CLEWSity","AGRCRP001",2036,315.735329811639
"CLEWSity","AGRCRP001",2037,301.123639791857
"CLEWSity","AGRCRP001",2038,290.408045069495
"CLEWSity","AGRCRP001",2039,257.871092834479
"CLEWSity","AGRCRP001",2040,259.957879785112
"CLEWSity","AGRCRP001",2041,296.039763592651
"CLEWSity","AGRCRP001",2042,338.426672726286
"CLEWSity","AGRCRP001",2043,357.706353957427
"CLEWSity","AGRCRP001",2044,352.061071604485
"CLEWSity","AGRCRP001",2045,308.780064533066
"CLEWSity","AGRCRP001",2046,428.882825660415
"CLEWSity","AGRCRP001",2047,496.247737425121
"CLEWSity","AGRCRP001",2048,519.580067623891
"CLEWSity","AGRCRP001",2049,537.170858212127
"CLEWSity","AGRCRP001",2050,557.685070287087
"CLEWSity","AGRCRP001",2051,593.873255735997
"CLEWSity","AGRCRP001",2052,644.230360647938
"CLEWSity","AGRCRP001",2053,694.743706414793
"CLEWSity","AGRCRP001",2054,670.674749765562
"CLEWSity","AGRCRP001",2055,592.93408
"CLEWSity","AGRPST001",2021,310.174698795179
"CLEWSity","AGRPST001",2022,310.728915662651
"CLEWSity","AGRPST001",2023,311.728915662653
