REGION,TIMESLICE,TECHNOLOGY,COMMODITY,YEAR,VALUE
"CLEWSity","SD","AGRCRP001","LNDCRP",2020,221.665485471301
"CLEWSity","SD","AGRCRP001","LNDCRP",2021,182.379235065226
"CLEWSity","SD","AGRCRP001","LNDCRP",2022,167.379249410326
"CLEWSity","SD","AGRCRP001","LNDCRP",2023,199.174328553045
"CLEWSity","SD","AGRCRP001","LNDCRP",2024,193.366208201336
"CLEWSity","SD","AGRCRP001","LNDCRP",2025,191.373863939721
"CLEWSity","SD","AGRCRP001","LNDCRP",2026,186.382431832981
"CLEWSity","SD","AGRCRP001","LNDCRP",2027,161.279637323056
"CLEWSity","SD","AGRCRP001","LNDCRP",2028,179.184787627676
"CLEWSity","SD","AGRCRP001","LNDCRP",2029,180.96407787781
"CLEWSity","SD","AGRCRP001","LNDCRP",2030,189.940732457401
"CLEWSity","SD","AGRCRP001","LNDCRP",2031,179.308592928408
"CLEWSity","SD","AGRCRP001","LNDCRP",2032,193.553248462428
"CLEWSity","SD","AGRCRP001","LNDCRP",2033,192.215523234617
"CLEWSity","SD","AGRCRP001","LNDCRP",2034,186.921656567942
"CLEWSity","SD","AGRCRP001","LNDCRP",2035,126.829720155578
"CLEWSity","SD","AGRCRP001","LNDCRP",2036,143.976749598656
"CLEWSity","SD","AGRCRP001","LNDCRP",2037,189.283143484024
"CLEWSity","SD","AGRCRP001","LNDCRP",2038,191.794154043854
"CLEWSity","SD","AGRCRP001","LNDCRP",2039,257.871092834476
"CLEWSity","SD","AGRCRP001","LNDCRP",2040,207.04516164026
"CLEWSity","SD","AGRCRP001","LNDCRP",2041,201.84759976775
"CLEWSity","SD","AGRCRP001","LNDCRP",2042,195.503902816728
"CLEWSity","SD","AGRCRP001","LNDCRP",2043,184.538829571986
"CLEWSity","SD","AGRCRP001","LNDCRP",2044,193.889827219039
"CLEWSity","SD","AGRCRP001","LNDCRP",2045,216.364249992017
"CLEWSity","SD","AGRCRP001","LNDCRP",2046,242.682829801969
"CLEWSity","SD","AGRCRP001","LNDCRP",2047,179.156567524961
"CLEWSity","SD","AGRCRP001","LNDCRP",2048,140.735294117647
"CLEWSity","SD","AGRCRP001","LNDCRP",2049,180.806959419488
"CLEWSity","SD","AGRCRP001","LNDCRP",2050,181.374350688603
"CLEWSity","SD","AGRCRP001","LNDCRP",2051,240.630508969885
"CLEWSity","SD","AGRCRP001","LNDCRP",2052,150.735294117647
"CLEWSity","SD","AGRCRP001","LNDCRP",2053,154.411764705882
"CLEWSity","SD","AGRCRP001","LNDCRP",2054,176.205219375633
"CLEWSity","SD","AGRCRP001","LNDCRP",2055,215.490196078435
"CLEWSity","SD","AGRPST001","CTL",2020,4763.536
"CLEWSity","SD","AGRPST001","CTL",2021,4858.056
"CLEWSity","SD","AGRPST001","CTL",2022,4953.312
"CLEWSity","SD","AGRPST001","CTL",2023,5048.568
"CLEWSity","SD","AGRPST001","CTL",2024,5143.824
"CLEWSity","SD","AGRPST001","CTL",2025,5270.832
"CLEWSity","SD","AGRPST001","CTL",2026,5366.088
"CLEWSity","SD","AGRPST001","CTL",2027,5461.344
"CLEWSity","SD","AGRPST001","CTL",2028,5588.352
"CLEWSity","SD","AGRPST001","CTL",2029,5683.608
"CLEWSity","SD","AGRPST001","CTL",2030,5810.616
"CLEWSity","SD","AGRPST001","CTL",2031,5937.624
"CLEWSity","SD","AGRPST001","CTL",2032,6032.88
"CLEWSity","SD","AGRPST001","CTL",2033,6159.888
"CLEWSity","SD","AGRPST001","CTL",2034,6286.896
"CLEWSity","SD","AGRPST001","CTL",2035,6413.904
"CLEWSity","SD","AGRPST001","CTL",2036,6540.912
"CLEWSity","SD","AGRPST001","CTL",2037,6667.92
"CLEWSity","SD","AGRPST001","CTL",2038,6794.928
"CLEWSity","SD","AGRPST001","CTL",2039,6953.688
"CLEWSity","SD","AGRPST001","CTL",2040,7080.696
"CLEWSity","SD","AGRPST001","CTL",2041,7207.704
"CLEWSity","SD","AGRPST001","CTL",2042,7366.464
"CLEWSity","SD","AGRPST001","CTL",2043,7525.224
"CLEWSity","SD","AGRPST001","CTL",2044,7652.232
"CLEWSity","SD","AGRPST001","CTL",2045,7810.992
"CLEWSity","SD","AGRPST001","CTL",2046,7969.752
"CLEWSity","SD","AGRPST001","CTL",2047,8128.512
"CLEWSity","SD","AGRPST001","CTL",2048,8287.272
"CLEWSity","SD","AGRPST001","CTL",2049,8446.032
"CLEWSity","SD","AGRPST001","CTL",2050,8636.544
"CLEWSity","SD","AGRPST001","CTL",2051,8795.304
"CLEWSity","SD","AGRPST001","CTL",2052,8985.816
"CLEWSity","SD","AGRPST001","CTL",2053,9144.576
"CLEWSity","SD","AGRPST001","CTL",2054,9335.088
"CLEWSity","SD","AGRPST001","CTL",2055,9525.6
"CLEWSity","SD","AGRPST001","LND001",2020,3587
"CLEWSity","SD","AGRPST001","LND001",2021,3658.17469879518
"CLEWSity","SD","AGRPST001","LND001",2022,3729.90361445783
"CLEWSity","SD","AGRPST001","LND001",2023,3801.63253012048
"CLEWSity","SD","AGRPST001","LND001",2024,3873.36144578313
"CLEWSity","SD","AGRPST001","LND001",2025,3969
"CLEWSity","SD","AGRPST001","LND001",2026,4040.72891566265
"CLEWSity","SD","AGRPST001","LND001",2027,4112.4578313253
"CLEWSity","SD","AGRPST001","LND001",2028,4208.09638554217
"CLEWSity","SD","AGRPST001","LND001",2029,4279.82530120482
"CLEWSity","SD","AGRPST001","LND001",2030,4375.46385542169
"CLEWSity","SD","AGRPST001","LND001",2031,4471.10240963856
"CLEWSity","SD","AGRPST001","LND001",2032,4542.8313253012
"CLEWSity","SD","AGRPST001","LND001",2033,4638.46987951807
"CLEWSity","SD","AGRPST001","LND001",2034,4734.10843373494
"CLEWSity","SD","AGRPST001","LND001",2035,4829.74698795181
"CLEWSity","SD","AGRPST001","LND001",2036,4925.38554216867
"CLEWSity","SD","AGRPST001","LND001",2037,5021.02409638554
"CLEWSity","SD","AGRPST001","LND001",2038,5116.66265060241
